Geo,Year,SFDU,MFDU,GQDU
S410430203001,2010,988,86,1
S410430203002,2010,409,26,1
S410430203004,2010,1,1,1
S410430204001,2010,409,4,1
S410430205001,2010,554,156,1
S410430206003,2010,2023,129,1
S410430207001,2010,1863,724,1
S410430208023,2010,994,176,1
S410030101001,2010,496,477,1
S410030101002,2010,1326,234,1
S410030101003,2010,360,360,1
S410030101004,2010,3107,1600,1
S410470108021,2010,1124,579,1
S410470108022,2010,686,659,1
S410470108023,2010,1198,50,1
S410470108024,2010,1316,55,1
S410430203001,2040,1992,169,1
S410430203002,2040,565,13,1
S410430203004,2040,1,1,1
S410430204001,2040,541,19,1
S410430205001,2040,817,229,1
S410430206003,2040,4382,417,1
S410430207001,2040,3126,1171,1
S410430208023,2040,1209,259,1
S410030101001,2040,609,582,1
S410030101002,2040,1389,235,1
S410030101003,2040,474,383,1
S410030101004,2040,3238,1756,1
S410470108021,2040,1273,689,1
S410470108022,2040,780,738,1
S410470108023,2040,1452,152,1
S410470108024,2040,2074,55,1
