Geo,Year,HhPropIncQ1,HhPropIncQ2,HhPropIncQ3,HhPropIncQ4
S410430203001,2010,0.29,0.24,0.23,0.24
S410430203002,2010,0.15,0.27,0.3,0.28
S410430203004,2010,0.49,0.34,0.24,0.07
S410430204001,2010,0.24,0.26,0.24,0.26
S410430205001,2010,0.32,0.19,0.21,0.28
S410430206003,2010,0.15,0.27,0.3,0.28
S410430207001,2010,0.15,0.31,0.3,0.24
S410430208023,2010,0.19,0.2,0.26,0.35
S410030101001,2010,0.49,0.34,0.1,0.07
S410030101002,2010,0.19,0.2,0.26,0.35
S410030101003,2010,0.46,0.27,0.22,0.05
S410030101004,2010,0.3,0.24,0.24,0.22
S410470108021,2010,0.3,0.24,0.24,0.22
S410470108022,2010,0.49,0.34,0.1,0.07
S410470108023,2010,0.07,0.19,0.27,0.47
S410470108024,2010,0.07,0.19,0.27,0.47
S410430203001,2040,0.29,0.24,0.23,0.24
S410430203002,2040,0.15,0.27,0.3,0.28
S410430203004,2040,0.49,0.34,0.24,0.07
S410430204001,2040,0.24,0.26,0.24,0.26
S410430205001,2040,0.32,0.19,0.21,0.28
S410430206003,2040,0.15,0.27,0.3,0.28
S410430207001,2040,0.15,0.31,0.3,0.24
S410430208023,2040,0.19,0.2,0.26,0.35
S410030101001,2040,0.49,0.34,0.1,0.07
S410030101002,2040,0.19,0.2,0.26,0.35
S410030101003,2040,0.46,0.27,0.22,0.05
S410030101004,2040,0.3,0.24,0.24,0.22
S410470108021,2040,0.3,0.24,0.24,0.22
S410470108022,2040,0.49,0.34,0.1,0.07
S410470108023,2040,0.07,0.19,0.27,0.47
S410470108024,2040,0.07,0.19,0.27,0.47
