Geo,Year,D3bpo4
S410430203001,2010,6.585212677
S410430203002,2010,0.290211315
S410430203004,2010,0.290211315
S410430204001,2010,0.139667573
S410430205001,2010,0.690434715
S410430206003,2010,2.854090779
S410430207001,2010,7.291589361
S410430208023,2010,11.87
S410030101001,2010,87.59379082
S410030101002,2010,67.40131216
S410030101003,2010,7.747347776
S410030101004,2010,28.63637449
S410470108021,2010,17.00184851
S410470108022,2010,37.38088255
S410470108023,2010,1.500827899
S410470108024,2010,2.479750129
S410430203001,2040,6.585212677
S410430203002,2040,0.290211315
S410430203004,2040,0.290211315
S410430204001,2040,0.139667573
S410430205001,2040,0.690434715
S410430206003,2040,2.854090779
S410430207001,2040,7.291589361
S410430208023,2040,11.87
S410030101001,2040,87.59379082
S410030101002,2040,67.40131216
S410030101003,2040,7.747347776
S410030101004,2040,28.63637449
S410470108021,2040,17.00184851
S410470108022,2040,37.38088255
S410470108023,2040,1.500827899
S410470108024,2040,2.479750129
