Geo,Year,PkgSpacesPerSFDU,PkgSpacesPerMFDU,PkgSpacesPerGQ,PropWkrPay,PropCashOut,PkgCost.2010
S410430203001,2010,6.75,3.46,1.54,0,0,0
S410430203002,2010,8.6,4.23,1.8,0,0,0
S410430203004,2010,7.38,3.77,1.65,0,0,0
S410430204001,2010,7.79,3.96,1.71,0,0,0
S410430205001,2010,7.92,4.01,1.73,0,0,0
S410430206003,2010,7.49,3.76,1.64,0,0,0
S410430207001,2010,7.21,3.63,1.6,0,0,0
S410430208023,2010,6.23,3.28,1.48,0,0,0
S410030101001,2010,5.63,3.29,1.52,0.25,0,1
S410030101002,2010,5.46,3.1,1.46,0,0,0
S410030101003,2010,5.78,3.29,1.48,0,0,0
S410030101004,2010,5.8,3.11,1.43,0,0,0
S410470108021,2010,5.5,3.2,1.47,0,0,0
S410470108022,2010,5.59,3.24,1.48,0,0,0
S410470108023,2010,7.17,3.65,1.61,0,0,0
S410470108024,2010,7.6,3.75,1.64,0,0,0
S410430203001,2040,6.75,3.46,1.54,0,0,0
S410430203002,2040,8.6,4.23,1.8,0,0,0
S410430203004,2040,7.38,3.77,1.65,0,0,0
S410430204001,2040,7.79,3.96,1.71,0,0,0
S410430205001,2040,7.92,4.01,1.73,0,0,0
S410430206003,2040,7.49,3.76,1.64,0,0,0
S410430207001,2040,7.21,3.63,1.6,0,0,0
S410430208023,2040,6.23,3.28,1.48,0,0,0
S410030101001,2040,5.63,3.29,1.52,0.5,0,2
S410030101002,2040,5.46,3.1,1.46,0,0,0
S410030101003,2040,5.78,3.29,1.48,0,0,0
S410030101004,2040,5.8,3.11,1.43,0,0,0
S410470108021,2040,5.5,3.2,1.47,0,0,0
S410470108022,2040,5.59,3.24,1.48,0,0,0
S410470108023,2040,7.17,3.65,1.61,0,0,0
S410470108024,2040,7.6,3.75,1.64,0,0,0
