Geo,Year,D4c
S410430203001,2010,0
S410430203002,2010,0
S410430203004,2010,0
S410430204001,2010,0.479166666
S410430205001,2010,2.666666667
S410430206003,2010,0
S410430207001,2010,1.76344086
S410430208023,2010,5
S410030101001,2010,3.676470588
S410030101002,2010,3.290598291
S410030101003,2010,3.602564102
S410030101004,2010,0.1875
S410470108021,2010,0.355555556
S410470108022,2010,0.390476191
S410470108023,2010,3.579710145
S410470108024,2010,0.222222222
S410430203001,2040,0
S410430203002,2040,0
S410430203004,2040,0
S410430204001,2040,0.479166666
S410430205001,2040,2.666666667
S410430206003,2040,0
S410430207001,2040,1.76344086
S410430208023,2040,5
S410030101001,2040,3.676470588
S410030101002,2040,3.290598291
S410030101003,2040,3.602564102
S410030101004,2040,0.1875
S410470108021,2040,0.355555556
S410470108022,2040,0.390476191
S410470108023,2040,3.579710145
S410470108024,2040,0.222222222
