Geo,Year,EcoProp,ImpProp
S410430203001,2010,0,0.03
S410430203002,2010,0,0.03
S410430203004,2010,0,0.03
S410430204001,2010,0,0.03
S410430205001,2010,0,0.03
S410430206003,2010,0,0.03
S410430207001,2010,0,0.03
S410430208023,2010,0,0.03
S410030101001,2010,0,0.03
S410030101002,2010,0,0.03
S410030101003,2010,0,0.03
S410030101004,2010,0,0.03
S410470108021,2010,0,0.03
S410470108022,2010,0,0.03
S410470108023,2010,0,0.03
S410470108024,2010,0,0.03
S410430203001,2040,0.14,0.08
S410430203002,2040,0.14,0.08
S410430203004,2040,0.14,0.08
S410430204001,2040,0.14,0.08
S410430205001,2040,0.14,0.08
S410430206003,2040,0.14,0.08
S410430207001,2040,0.14,0.08
S410430208023,2040,0.14,0.08
S410030101001,2040,0.14,0.08
S410030101002,2040,0.14,0.08
S410030101003,2040,0.14,0.08
S410030101004,2040,0.14,0.08
S410470108021,2040,0.14,0.08
S410470108022,2040,0.14,0.08
S410470108023,2040,0.14,0.08
S410470108024,2040,0.14,0.08
