Geo,Year,UrbanArea,TownArea,RuralArea
S410430203001,2010,938.43,0,0
S410430203002,2010,2125.4,0,0
S410430203004,2010,1508.96,0,0
S410430204001,2010,2262.91,0,0
S410430205001,2010,1378.57,0,0
S410430206003,2010,3174.66,0,0
S410430207001,2010,2274.97,0,0
S410430208023,2010,845.12,0,0
S410030101001,2010,359.35,0,0
S410030101002,2010,582.73,0,0
S410030101003,2010,618.99,0,0
S410030101004,2010,953.58,0,0
S410470108021,2010,516.69,0,0
S410470108022,2010,669.73,0,0
S410470108023,2010,1635.86,0,0
S410470108024,2010,1764.95,0,0
S410430203001,2040,938.43,0,0
S410430203002,2040,2125.4,0,0
S410430203004,2040,1508.96,0,0
S410430204001,2040,2262.91,0,0
S410430205001,2040,1378.57,0,0
S410430206003,2040,3174.66,0,0
S410430207001,2040,2274.97,0,0
S410430208023,2040,845.12,0,0
S410030101001,2040,359.35,0,0
S410030101002,2040,582.73,0,0
S410030101003,2040,618.99,0,0
S410030101004,2040,953.58,0,0
S410470108021,2040,516.69,0,0
S410470108022,2040,669.73,0,0
S410470108023,2040,1635.86,0,0
S410470108024,2040,1764.95,0,0
