Geo,Year,FwyLaneMi,ArtLaneMi
Albany,1990,35,133
Albany,1995,35,133
Albany,2000,35,133
Albany,2005,35,133
Albany,2010,35,133
Albany,2015,35,133
Albany,2020,35,133
Albany,2025,35,133
Albany,2030,35,133
Albany,2035,35,133
Albany,2040,35,133
Albany,2045,35,133
Albany,2050,35,133
Bend,1990,48,164
Bend,1995,48,164
Bend,2000,48,164
Bend,2005,48,164
Bend,2010,48,164
Bend,2015,48,164
Bend,2020,48,164
Bend,2025,48,164
Bend,2030,48,164
Bend,2035,48,164
Bend,2040,48,164
Bend,2045,48,164
Bend,2050,48,164
Corvallis,1990,10,146
Corvallis,1995,10,146
Corvallis,2000,10,146
Corvallis,2005,10,146
Corvallis,2010,10,146
Corvallis,2015,10,146
Corvallis,2020,10,146
Corvallis,2025,10,146
Corvallis,2030,10,146
Corvallis,2035,10,146
Corvallis,2040,10,146
Corvallis,2045,10,146
Corvallis,2050,10,146
EugeneSpringfield,1990,130,479
EugeneSpringfield,1995,130,479
EugeneSpringfield,2000,130,479
EugeneSpringfield,2005,130,479
EugeneSpringfield,2010,130,479
EugeneSpringfield,2015,130,479
EugeneSpringfield,2020,130,479
EugeneSpringfield,2025,130,479
EugeneSpringfield,2030,130,479
EugeneSpringfield,2035,130,479
EugeneSpringfield,2040,130,479
EugeneSpringfield,2045,130,479
EugeneSpringfield,2050,130,479
GrantsPass,1990,100,158
GrantsPass,1995,100,158
GrantsPass,2000,100,158
GrantsPass,2005,100,158
GrantsPass,2010,100,158
GrantsPass,2015,100,158
GrantsPass,2020,100,158
GrantsPass,2025,100,158
GrantsPass,2030,100,158
GrantsPass,2035,100,158
GrantsPass,2040,100,158
GrantsPass,2045,100,158
GrantsPass,2050,100,158
Metro,1990,526,2232
Metro,1995,526,2232
Metro,2000,526,2232
Metro,2005,526,2232
Metro,2010,526,2232
Metro,2015,526,2232
Metro,2020,526,2232
Metro,2025,526,2232
Metro,2030,526,2232
Metro,2035,526,2232
Metro,2040,526,2232
Metro,2045,526,2232
Metro,2050,526,2232
RogueValley,1990,90,354
RogueValley,1995,90,354
RogueValley,2000,90,354
RogueValley,2005,90,354
RogueValley,2010,90,354
RogueValley,2015,90,354
RogueValley,2020,90,354
RogueValley,2025,90,354
RogueValley,2030,90,354
RogueValley,2035,90,354
RogueValley,2040,90,354
RogueValley,2045,90,354
RogueValley,2050,90,354
SalemKeizer,1990,122,419
SalemKeizer,1995,122,419
SalemKeizer,2000,122,419
SalemKeizer,2005,122,419
SalemKeizer,2010,122,419
SalemKeizer,2015,122,419
SalemKeizer,2020,122,419
SalemKeizer,2025,122,419
SalemKeizer,2030,122,419
SalemKeizer,2035,122,419
SalemKeizer,2040,122,419
SalemKeizer,2045,122,419
SalemKeizer,2050,122,419
None,1990,35,133
None,1995,35,133
None,2000,35,133
None,2005,35,133
None,2010,35,133
None,2015,35,133
None,2020,35,133
None,2025,35,133
None,2030,35,133
None,2035,35,133
None,2040,35,133
None,2045,35,133
None,2050,35,133
