Geo,Year,RampMeterDeployProp,IncidentMgtDeployProp,SignalCoordDeployProp,AccessMgtDeployProp,OtherFwyOpsDeployProp,OtherArtOpsDeployProp
Albany,1990,0,0,0,0,0,0
Albany,1995,0,0,0,0,0,0
Albany,2000,0,0,0,0,0,0
Albany,2005,0,0,0.3,0,0,0
Albany,2010,0,0.5,0.5,0,0,0
Albany,2015,0.5,0.75,0.6,0.1,0,0
Albany,2020,0.75,0.8,0.7,0.1,0,0
Albany,2025,0.95,0.85,0.8,0.1,0,0
Albany,2030,0.95,0.9,0.9,0.1,0,0
Albany,2035,0.95,0.95,0.95,0.1,0,0
Albany,2040,0.95,0.95,0.95,0.1,0,0
Albany,2045,0.95,0.95,0.95,0.1,0,0
Albany,2050,0.95,0.95,0.95,0.85,0,0
Bend,1990,0,0,0.5,0,0,0
Bend,1995,0,0,0.5,0,0,0
Bend,2000,0,0,0.5,0,0,0
Bend,2005,0,0,0.5,0,0,0
Bend,2010,0,0.5,0.5,0,0,0
Bend,2015,0.5,0.75,0.6,0.1,0,0
Bend,2020,0.75,0.8,0.7,0.12,0,0
Bend,2025,0.95,0.85,0.8,0.14,0,0
Bend,2030,0.95,0.9,0.9,0.16,0,0
Bend,2035,0.95,0.95,0.95,0.18,0,0
Bend,2040,0.95,0.95,0.95,0.2,0,0
Bend,2045,0.95,0.95,0.95,0.22,0,0
Bend,2050,0.95,0.95,0.95,0.24,0,0
Corvallis,1990,0,0,0.5,0,0,0
Corvallis,1995,0,0,0.5,0,0,0
Corvallis,2000,0,0,0.5,0,0,0
Corvallis,2005,0,0,0.5,0,0,0
Corvallis,2010,0,0.5,0.5,0,0,0
Corvallis,2015,0.5,0.75,0.6,0.1,0,0
Corvallis,2020,0.75,0.8,0.7,0.12,0,0
Corvallis,2025,0.95,0.85,0.8,0.14,0,0
Corvallis,2030,0.95,0.9,0.9,0.16,0,0
Corvallis,2035,0.95,0.95,0.95,0.18,0,0
Corvallis,2040,0.95,0.95,0.95,0.2,0,0
Corvallis,2045,0.95,0.95,0.95,0.22,0,0
Corvallis,2050,0.95,0.95,0.95,0.24,0,0
EugeneSpringfield,1990,0,0,0.5,0,0,0
EugeneSpringfield,1995,0,0,0,0,0,0
EugeneSpringfield,2000,0,0,0,0,0,0
EugeneSpringfield,2005,0,0,0,0,0,0
EugeneSpringfield,2010,0,0.5,0.52,0.2,0,0
EugeneSpringfield,2015,0.5,0.75,0.6,0.22,0,0
EugeneSpringfield,2020,0.75,0.8,0.7,0.24,0,0
EugeneSpringfield,2025,0.95,0.85,0.8,0.26,0,0
EugeneSpringfield,2030,0.95,0.9,0.9,0.28,0,0
