Geo,Year,CenterPropWkrPay,InnerPropWkrPay,OuterPropWkrPay,CenterPropCashOut,InnerPropCashOut,OuterPropCashOut,CenterPkgCost.2005,InnerPkgCost.2005,OuterPkgCost.2005
Metro,1990,0.1,0,0,0,0,0,8.36,0,0
Metro,1995,0.1,0,0,0,0,0,8.36,0,0
Metro,2000,0.1,0,0,0,0,0,8.36,0,0
Metro,2005,0.13,0,0,0,0,0,8.36,0,0
Metro,2010,0.13,0,0,0,0,0,8.36,0,0
Metro,2015,0.16,0,0,0,0,0,7.935,0,0
Metro,2020,0.2,0,0,0,0,0,7.51,0,0
Metro,2025,0.221666667,0,0,0.004712786,0,0,7.085,0,0
Metro,2030,0.243333333,0,0,0.009452888,0,0,6.66,0,0
Metro,2035,0.265,0,0,0.014094547,0,0,5.81,0,0
Metro,2040,0.286666667,0,0,0.018814435,0,0,5.81,0,0
Metro,2045,0.308333333,0,0,0.023435854,0,0,5.81,0,0
Metro,2050,0.33,0,0,0.028125338,0,0,5.81,0,0
Bend,1990,0.045305343,0,0,0,0,0,0.824545709,0,0
Bend,1995,0.045305343,0,0,0,0,0,0.824545709,0,0
Bend,2000,0.045305343,0,0,0,0,0,0.824545709,0,0
Bend,2005,0.045305343,0,0,0,0,0,0.824545709,0,0
Bend,2010,0.045305343,0,0,0,0,0,0.824545709,0,0
Bend,2015,0.043029141,0,0,0,0,0,0.824545709,0,0
Bend,2020,0.040752939,0,0,0,0,0,0.824545709,0,0
Bend,2025,0.038476738,0,0,0.004712786,0,0,0.824545709,0,0
Bend,2030,0.036200536,0,0,0.009452888,0,0,0.824545709,0,0
Bend,2035,0.033924334,0,0,0.014094547,0,0,0.824545709,0,0
Bend,2040,0.031648132,0,0,0.018814435,0,0,0.824545709,0,0
Bend,2045,0.031648132,0,0,0.023435854,0,0,0.824545709,0,0
Bend,2050,0.031648132,0,0,0.028125338,0,0,0.824545709,0,0
Corvallis,1990,0.45,0,0,0,0,0,1.43,0,0
Corvallis,1995,0.45,0,0,0,0,0,1.43,0,0
Corvallis,2000,0.45,0,0,0,0,0,1.43,0,0
Corvallis,2005,0.45,0,0,0,0,0,1.43,0,0
Corvallis,2010,0.45,0,0,0,0,0,1.43,0,0
Corvallis,2015,0.455332833,0,0,0,0,0,1.525702667,0,0
Corvallis,2020,0.460665667,0,0,0,0,0,1.621405333,0,0
