Geo,Year,TransitVanFuelCI,TransitBusFuelCI,TransitRailFuelCI
Metro,1990,NA,NA,NA
Metro,1995,NA,NA,NA
Metro,2000,NA,NA,NA
Metro,2005,NA,NA,NA
Metro,2010,NA,NA,NA
Metro,2015,NA,NA,NA
Metro,2020,NA,NA,NA
Metro,2025,NA,NA,NA
Metro,2030,NA,NA,NA
Metro,2035,NA,NA,NA
Metro,2040,NA,NA,NA
Metro,2045,NA,NA,NA
Metro,2050,NA,NA,NA
Bend,1990,NA,NA,NA
Bend,1995,NA,NA,NA
Bend,2000,NA,NA,NA
Bend,2005,NA,NA,NA
Bend,2010,NA,NA,NA
Bend,2015,NA,NA,NA
Bend,2020,NA,NA,NA
Bend,2025,NA,NA,NA
Bend,2030,NA,NA,NA
Bend,2035,NA,NA,NA
Bend,2040,NA,NA,NA
Bend,2045,NA,NA,NA
Bend,2050,NA,NA,NA
Corvallis,1990,NA,NA,NA
Corvallis,1995,NA,NA,NA
Corvallis,2000,NA,NA,NA
Corvallis,2005,NA,NA,NA
Corvallis,2010,NA,NA,NA
Corvallis,2015,NA,NA,NA
Corvallis,2020,NA,NA,NA
Corvallis,2025,NA,NA,NA
Corvallis,2030,NA,NA,NA
Corvallis,2035,NA,NA,NA
Corvallis,2040,NA,NA,NA
Corvallis,2045,NA,NA,NA
Corvallis,2050,NA,NA,NA
EugeneSpringfield,1990,NA,NA,NA
EugeneSpringfield,1995,NA,NA,NA
EugeneSpringfield,2000,NA,NA,NA
EugeneSpringfield,2005,NA,NA,NA
EugeneSpringfield,2010,NA,NA,NA
EugeneSpringfield,2015,NA,NA,NA
EugeneSpringfield,2020,NA,NA,NA
EugeneSpringfield,2025,NA,NA,NA
EugeneSpringfield,2030,NA,NA,NA
EugeneSpringfield,2035,NA,NA,NA
EugeneSpringfield,2040,NA,NA,NA
EugeneSpringfield,2045,NA,NA,NA
EugeneSpringfield,2050,NA,NA,NA
RogueValley,1990,NA,NA,NA
RogueValley,1995,NA,NA,NA
RogueValley,2000,NA,NA,NA
RogueValley,2005,NA,NA,NA
RogueValley,2010,NA,NA,NA
RogueValley,2015,NA,NA,NA
RogueValley,2020,NA,NA,NA
RogueValley,2025,NA,NA,NA
RogueValley,2030,NA,NA,NA
RogueValley,2035,NA,NA,NA
RogueValley,2040,NA,NA,NA
RogueValley,2045,NA,NA,NA
RogueValley,2050,NA,NA,NA
SalemKeizer,1990,NA,NA,NA
SalemKeizer,1995,NA,NA,NA
SalemKeizer,2000,NA,NA,NA
SalemKeizer,2005,NA,NA,NA
SalemKeizer,2010,NA,NA,NA
SalemKeizer,2015,NA,NA,NA
SalemKeizer,2020,NA,NA,NA
SalemKeizer,2025,NA,NA,NA
SalemKeizer,2030,NA,NA,NA
SalemKeizer,2035,NA,NA,NA
SalemKeizer,2040,NA,NA,NA
SalemKeizer,2045,NA,NA,NA
SalemKeizer,2050,NA,NA,NA
Albany,1990,NA,NA,NA
Albany,1995,NA,NA,NA
Albany,2000,NA,NA,NA
Albany,2005,NA,NA,NA
Albany,2010,NA,NA,NA
Albany,2015,NA,NA,NA
Albany,2020,NA,NA,NA
Albany,2025,NA,NA,NA
Albany,2030,NA,NA,NA
Albany,2035,NA,NA,NA
Albany,2040,NA,NA,NA
Albany,2045,NA,NA,NA
Albany,2050,NA,NA,NA
GrantsPass,1990,NA,NA,NA
GrantsPass,1995,NA,NA,NA
GrantsPass,2000,NA,NA,NA
GrantsPass,2005,NA,NA,NA
GrantsPass,2010,NA,NA,NA
GrantsPass,2015,NA,NA,NA
GrantsPass,2020,NA,NA,NA
GrantsPass,2025,NA,NA,NA
GrantsPass,2030,NA,NA,NA
GrantsPass,2035,NA,NA,NA
GrantsPass,2040,NA,NA,NA
GrantsPass,2045,NA,NA,NA
GrantsPass,2050,NA,NA,NA
None,1990,NA,NA,NA
None,1995,NA,NA,NA
None,2000,NA,NA,NA
None,2005,NA,NA,NA
None,2010,NA,NA,NA
None,2015,NA,NA,NA
None,2020,NA,NA,NA
None,2025,NA,NA,NA
None,2030,NA,NA,NA
None,2035,NA,NA,NA
None,2040,NA,NA,NA
None,2045,NA,NA,NA
None,2050,NA,NA,NA
