Geo,Year,HighCarSvcCost.2005,LowCarSvcCost.2005,AveCarSvcVehicleAge,LtTrkCarSvcSubProp,AutoCarSvcSubProp
Baker,1990,2,4,10.47,0.75,0.95
Benton,1990,2,4,10.53,0.75,0.95
Clackamas,1990,2,4,10.53,0.75,0.95
Clatsop,1990,2,4,10.56,0.75,0.95
Columbia,1990,2,4,10.50,0.75,0.95
Coos,1990,2,4,10.53,0.75,0.95
Crook,1990,2,4,10.58,0.75,0.95
Curry,1990,2,4,10.57,0.75,0.95
Deschutes,1990,2,4,10.55,0.75,0.95
Douglas,1990,2,4,10.51,0.75,0.95
Gilliam,1990,2,4,10.80,0.75,0.95
Grant,1990,2,4,10.46,0.75,0.95
Harney,1990,2,4,10.50,0.75,0.95
Hood River,1990,2,4,10.59,0.75,0.95
Jackson,1990,2,4,10.54,0.75,0.95
Jefferson,1990,2,4,10.50,0.75,0.95
Josephine,1990,2,4,10.56,0.75,0.95
Klamath,1990,2,4,10.54,0.75,0.95
Lake,1990,2,4,10.64,0.75,0.95
Lane,1990,2,4,10.54,0.75,0.95
Lincoln,1990,2,4,10.56,0.75,0.95
Linn,1990,2,4,10.58,0.75,0.95
Malheur,1990,2,4,10.64,0.75,0.95
Marion,1990,2,4,10.53,0.75,0.95
Morrow,1990,2,4,10.57,0.75,0.95
Multnomah,1990,2,4,10.54,0.75,0.95
Polk,1990,2,4,10.52,0.75,0.95
Sherman,1990,2,4,10.39,0.75,0.95
Tillamook,1990,2,4,10.60,0.75,0.95
Umatilla,1990,2,4,10.59,0.75,0.95
Union,1990,2,4,10.56,0.75,0.95
Wallowa,1990,2,4,10.47,0.75,0.95
Wasco,1990,2,4,10.57,0.75,0.95
Washington,1990,2,4,10.53,0.75,0.95
Wheeler,1990,2,4,10.55,0.75,0.95
Yamhill,1990,2,4,10.56,0.75,0.95
Baker,1995,2,4,10.47,0.75,0.95
Benton,1995,2,4,10.53,0.75,0.95
Clackamas,1995,2,4,10.54,0.75,0.95
Clatsop,1995,2,4,10.55,0.75,0.95
Columbia,1995,2,4,10.54,0.75,0.95
Coos,1995,2,4,10.54,0.75,0.95
Crook,1995,2,4,10.58,0.75,0.95
Curry,1995,2,4,10.56,0.75,0.95
Deschutes,1995,2,4,10.55,0.75,0.95
Douglas,1995,2,4,10.53,0.75,0.95
Gilliam,1995,2,4,10.80,0.75,0.95
Grant,1995,2,4,10.48,0.75,0.95
Harney,1995,2,4,10.55,0.75,0.95
Hood River,1995,2,4,10.57,0.75,0.95
Jackson,1995,2,4,10.54,0.75,0.95
Jefferson,1995,2,4,10.52,0.75,0.95
Josephine,1995,2,4,10.56,0.75,0.95
Klamath,1995,2,4,10.55,0.75,0.95
Lake,1995,2,4,10.65,0.75,0.95
Lane,1995,2,4,10.55,0.75,0.95
Lincoln,1995,2,4,10.54,0.75,0.95
Linn,1995,2,4,10.57,0.75,0.95
Malheur,1995,2,4,10.64,0.75,0.95
Marion,1995,2,4,10.54,0.75,0.95
Morrow,1995,2,4,10.57,0.75,0.95
Multnomah,1995,2,4,10.54,0.75,0.95
Polk,1995,2,4,10.54,0.75,0.95
Sherman,1995,2,4,10.38,0.75,0.95
Tillamook,1995,2,4,10.59,0.75,0.95
Umatilla,1995,2,4,10.60,0.75,0.95
Union,1995,2,4,10.56,0.75,0.95
Wallowa,1995,2,4,10.49,0.75,0.95
Wasco,1995,2,4,10.56,0.75,0.95
Washington,1995,2,4,10.53,0.75,0.95
