Geo,Year,FwyNoneCongChg.2010,FwyModCongChg.2010,FwyHvyCongChg.2010,FwySevCongChg.2010,FwyExtCongChg.2010,ArtNoneCongChg.2010,ArtModCongChg.2010,ArtHvyCongChg.2010,ArtSevCongChg.2010,ArtExtCongChg.2010
Albany,1990,0,0,0,0,0,0,0,0,0,0
Bend,1990,0,0,0,0,0,0,0,0,0,0
Corvallis,1990,0,0,0,0,0,0,0,0,0,0
EugeneSpringfield,1990,0,0,0,0,0,0,0,0,0,0
GrantsPass,1990,0,0,0,0,0,0,0,0,0,0
Metro,1990,0,0,0,0,0,0,0,0,0,0
RogueValley,1990,0,0,0,0,0,0,0,0,0,0
SalemKeizer,1990,0,0,0,0,0,0,0,0,0,0
None,1990,0,0,0,0,0,0,0,0,0,0
Albany,1995,0,0,0,0,0,0,0,0,0,0
Bend,1995,0,0,0,0,0,0,0,0,0,0
Corvallis,1995,0,0,0,0,0,0,0,0,0,0
EugeneSpringfield,1995,0,0,0,0,0,0,0,0,0,0
GrantsPass,1995,0,0,0,0,0,0,0,0,0,0
Metro,1995,0,0,0,0,0,0,0,0,0,0
RogueValley,1995,0,0,0,0,0,0,0,0,0,0
SalemKeizer,1995,0,0,0,0,0,0,0,0,0,0
None,1995,0,0,0,0,0,0,0,0,0,0
Albany,2000,0,0,0,0,0,0,0,0,0,0
Bend,2000,0,0,0,0,0,0,0,0,0,0
Corvallis,2000,0,0,0,0,0,0,0,0,0,0
EugeneSpringfield,2000,0,0,0,0,0,0,0,0,0,0
GrantsPass,2000,0,0,0,0,0,0,0,0,0,0
Metro,2000,0,0,0,0,0,0,0,0,0,0
RogueValley,2000,0,0,0,0,0,0,0,0,0,0
SalemKeizer,2000,0,0,0,0,0,0,0,0,0,0
None,2000,0,0,0,0,0,0,0,0,0,0
Albany,2005,0,0,0,0,0,0,0,0,0,0
Bend,2005,0,0,0,0,0,0,0,0,0,0
Corvallis,2005,0,0,0,0,0,0,0,0,0,0
EugeneSpringfield,2005,0,0,0,0,0,0,0,0,0,0
GrantsPass,2005,0,0,0,0,0,0,0,0,0,0
Metro,2005,0,0,0,0,0,0,0,0,0,0
RogueValley,2005,0,0,0,0,0,0,0,0,0,0
SalemKeizer,2005,0,0,0,0,0,0,0,0,0,0
None,2005,0,0,0,0,0,0,0,0,0,0
Albany,2010,0,0,0,0,0,0,0,0,0,0
Bend,2010,0,0,0,0,0,0,0,0,0,0
Corvallis,2010,0,0,0,0,0,0,0,0,0,0
EugeneSpringfield,2010,0,0,0,0,0,0,0,0,0,0
GrantsPass,2010,0,0,0,0,0,0,0,0,0,0
Metro,2010,0,0,0,0,0,0,0,0,0,0
RogueValley,2010,0,0,0,0,0,0,0,0,0,0
SalemKeizer,2010,0,0,0,0,0,0,0,0,0,0
None,2010,0,0,0,0,0,0,0,0,0,0
Albany,2015,0,0,0,0,0,0,0,0,0,0
