Geo,Year,UrbanMixProp
Metro,1990,NA
Metro,1995,NA
Metro,2000,NA
Metro,2005,NA
Metro,2010,NA
Metro,2015,NA
Metro,2020,NA
Metro,2025,NA
Metro,2030,NA
Metro,2035,NA
Metro,2040,NA
Metro,2045,NA
Metro,2050,NA
Bend,1990,NA
Bend,1995,NA
Bend,2000,NA
Bend,2005,NA
Bend,2010,NA
Bend,2015,NA
Bend,2020,NA
Bend,2025,NA
Bend,2030,NA
Bend,2035,NA
Bend,2040,NA
Bend,2045,NA
Bend,2050,NA
Corvallis,1990,NA
Corvallis,1995,NA
Corvallis,2000,NA
Corvallis,2005,NA
Corvallis,2010,NA
Corvallis,2015,NA
Corvallis,2020,NA
Corvallis,2025,NA
Corvallis,2030,NA
Corvallis,2035,NA
Corvallis,2040,NA
Corvallis,2045,NA
Corvallis,2050,NA
EugeneSpringfield,1990,NA
EugeneSpringfield,1995,NA
EugeneSpringfield,2000,NA
EugeneSpringfield,2005,NA
EugeneSpringfield,2010,NA
EugeneSpringfield,2015,NA
EugeneSpringfield,2020,NA
EugeneSpringfield,2025,NA
EugeneSpringfield,2030,NA
EugeneSpringfield,2035,NA
EugeneSpringfield,2040,NA
EugeneSpringfield,2045,NA
EugeneSpringfield,2050,NA
RogueValley,1990,NA
RogueValley,1995,NA
RogueValley,2000,NA
RogueValley,2005,NA
RogueValley,2010,NA
RogueValley,2015,NA
RogueValley,2020,NA
RogueValley,2025,NA
RogueValley,2030,NA
RogueValley,2035,NA
RogueValley,2040,NA
RogueValley,2045,NA
RogueValley,2050,NA
SalemKeizer,1990,NA
SalemKeizer,1995,NA
SalemKeizer,2000,NA
SalemKeizer,2005,NA
SalemKeizer,2010,NA
SalemKeizer,2015,NA
SalemKeizer,2020,NA
SalemKeizer,2025,NA
SalemKeizer,2030,NA
SalemKeizer,2035,NA
SalemKeizer,2040,NA
SalemKeizer,2045,NA
SalemKeizer,2050,NA
Albany,1990,NA
Albany,1995,NA
Albany,2000,NA
Albany,2005,NA
Albany,2010,NA
Albany,2015,NA
Albany,2020,NA
Albany,2025,NA
Albany,2030,NA
Albany,2035,NA
Albany,2040,NA
Albany,2045,NA
Albany,2050,NA
GrantsPass,1990,NA
GrantsPass,1995,NA
GrantsPass,2000,NA
GrantsPass,2005,NA
GrantsPass,2010,NA
GrantsPass,2015,NA
GrantsPass,2020,NA
GrantsPass,2025,NA
GrantsPass,2030,NA
GrantsPass,2035,NA
GrantsPass,2040,NA
GrantsPass,2045,NA
GrantsPass,2050,NA
None,1990,NA
None,1995,NA
None,2000,NA
None,2005,NA
None,2010,NA
None,2015,NA
None,2020,NA
None,2025,NA
None,2030,NA
None,2035,NA
None,2040,NA
None,2045,NA
None,2050,NA
