Geo,Year,FwySmooth,ArtSmooth,LdvEcoDrive,HvyTrkEcoDrive
Albany,1990,0,0,0,0
Albany,1995,0,0,0,0
Albany,2000,0,0,0,0
Albany,2005,0,0,0,0
Albany,2010,0,0,0,0
Albany,2015,0.029,0.029,0.029,0.029
Albany,2020,0.103,0.103,0.103,0.103
Albany,2025,0.302,0.302,0.302,0.302
Albany,2030,0.597,0.597,0.597,0.597
Albany,2035,0.797,0.797,0.797,0.797
Albany,2040,0.871,0.871,0.871,0.871
Albany,2045,0.892,0.892,0.892,0.892
Albany,2050,0.898,0.898,0.898,0.898
Bend,1990,0,0,0,0
Bend,1995,0,0,0,0
Bend,2000,0,0,0,0
Bend,2005,0.002,0.002,0.002,0.002
Bend,2010,0.008,0.008,0.008,0.008
Bend,2015,0.029,0.029,0.029,0.029
Bend,2020,0.103,0.103,0.103,0.103
Bend,2025,0.302,0.302,0.302,0.302
Bend,2030,0.597,0.597,0.597,0.597
Bend,2035,0.797,0.797,0.797,0.797
Bend,2040,0.871,0.871,0.871,0.871
Bend,2045,0.892,0.892,0.892,0.892
Bend,2050,0.898,0.898,0.898,0.898
Corvallis,1990,0,0,0,0
Corvallis,1995,0,0,0,0
Corvallis,2000,0,0,0,0
Corvallis,2005,0.002,0.002,0.002,0.002
Corvallis,2010,0.008,0.008,0.008,0.008
Corvallis,2015,0.029,0.029,0.029,0.029
Corvallis,2020,0.103,0.103,0.103,0.103
Corvallis,2025,0.302,0.302,0.302,0.302
Corvallis,2030,0.597,0.597,0.597,0.597
Corvallis,2035,0.797,0.797,0.797,0.797
Corvallis,2040,0.871,0.871,0.871,0.871
Corvallis,2045,0.892,0.892,0.892,0.892
Corvallis,2050,0.898,0.898,0.898,0.898
EugeneSpringfield,1990,0,0,0,0
EugeneSpringfield,1995,0,0,0,0
EugeneSpringfield,2000,0,0,0,0
EugeneSpringfield,2005,0.002,0.002,0.002,0.002
EugeneSpringfield,2010,0.008,0.008,0.008,0.008
EugeneSpringfield,2015,0.029,0.029,0.029,0.029
EugeneSpringfield,2020,0.103,0.103,0.103,0.103
EugeneSpringfield,2025,0.302,0.302,0.302,0.302
EugeneSpringfield,2030,0.597,0.597,0.597,0.597
EugeneSpringfield,2035,0.797,0.797,0.797,0.797
EugeneSpringfield,2040,0.871,0.871,0.871,0.871
EugeneSpringfield,2045,0.892,0.892,0.892,0.892
EugeneSpringfield,2050,0.898,0.898,0.898,0.898
GrantsPass,1990,0,0,0,0
GrantsPass,1995,0,0,0,0
GrantsPass,2000,0,0,0,0
GrantsPass,2005,0,0,0,0
GrantsPass,2010,0,0,0,0
GrantsPass,2015,0.029,0.029,0.029,0.029
GrantsPass,2020,0.103,0.103,0.103,0.103
GrantsPass,2025,0.302,0.302,0.302,0.302
GrantsPass,2030,0.597,0.597,0.597,0.597
GrantsPass,2035,0.797,0.797,0.797,0.797
GrantsPass,2040,0.871,0.871,0.871,0.871
GrantsPass,2045,0.892,0.892,0.892,0.892
GrantsPass,2050,0.898,0.898,0.898,0.898
Metro,1990,0,0,0,0
Metro,1995,0,0,0,0
Metro,2000,0,0,0,0
Metro,2005,0.002,0.002,0.002,0.002
Metro,2010,0.008,0.008,0.008,0.008
Metro,2015,0.029,0.029,0.029,0.029
Metro,2020,0.103,0.103,0.103,0.103
Metro,2025,0.302,0.302,0.302,0.302
Metro,2030,0.597,0.597,0.597,0.597
Metro,2035,0.797,0.797,0.797,0.797
Metro,2040,0.871,0.871,0.871,0.871
Metro,2045,0.892,0.892,0.892,0.892
Metro,2050,0.898,0.898,0.898,0.898
RogueValley,1990,0,0,0,0
RogueValley,1995,0,0,0,0
RogueValley,2000,0,0,0,0
RogueValley,2005,0.002,0.002,0.002,0.002
RogueValley,2010,0.008,0.008,0.008,0.008
RogueValley,2015,0.029,0.029,0.029,0.029
RogueValley,2020,0.103,0.103,0.103,0.103
RogueValley,2025,0.302,0.302,0.302,0.302
RogueValley,2030,0.597,0.597,0.597,0.597
RogueValley,2035,0.797,0.797,0.797,0.797
RogueValley,2040,0.871,0.871,0.871,0.871
RogueValley,2045,0.892,0.892,0.892,0.892
RogueValley,2050,0.898,0.898,0.898,0.898
SalemKeizer,1990,0,0,0,0
SalemKeizer,1995,0,0,0,0
SalemKeizer,2000,0,0,0,0
SalemKeizer,2005,0.002,0.002,0.002,0.002
SalemKeizer,2010,0.008,0.008,0.008,0.008
SalemKeizer,2015,0.029,0.029,0.029,0.029
SalemKeizer,2020,0.103,0.103,0.103,0.103
SalemKeizer,2025,0.302,0.302,0.302,0.302
SalemKeizer,2030,0.597,0.597,0.597,0.597
SalemKeizer,2035,0.797,0.797,0.797,0.797
SalemKeizer,2040,0.871,0.871,0.871,0.871
SalemKeizer,2045,0.892,0.892,0.892,0.892
SalemKeizer,2050,0.898,0.898,0.898,0.898
None,1990,0,0,0,0
None,1995,0,0,0,0
None,2000,0,0,0,0
None,2005,0.002,0.002,0.002,0.002
None,2010,0.008,0.008,0.008,0.008
None,2015,0.029,0.029,0.029,0.029
None,2020,0.103,0.103,0.103,0.103
None,2025,0.302,0.302,0.302,0.302
None,2030,0.597,0.597,0.597,0.597
None,2035,0.797,0.797,0.797,0.797
None,2040,0.871,0.871,0.871,0.871
None,2045,0.892,0.892,0.892,0.892
None,2050,0.898,0.898,0.898,0.898
