Geo,Year,CenterEcoProp,InnerEcoProp,OuterEcoProp,FringeEcoProp,CenterImpProp,InnerImpProp,OuterImpProp,FringeImpProp
Albany,1990,0,0,0,0,0,0,0,0
Albany,1995,0,0,0,0,0,0,0,0
Albany,2000,0,0,0,0,0,0,0,0
Albany,2005,0,0,0,0,0,0,0,0
Albany,2010,0,0,0,0,0,0,0,0
Albany,2015,0.01,0.01,0,0,0.01,0.01,0,0
Albany,2020,0.05,0.05,0,0,0.02,0.02,0,0
Albany,2025,0.07,0.07,0,0,0.03,0.03,0,0
Albany,2030,0.09,0.09,0,0,0.04,0.04,0,0
Albany,2035,0.11,0.11,0,0,0.06,0.06,0,0
Albany,2040,0.14,0.14,0,0,0.08,0.08,0,0
Albany,2045,0.17,0.17,0,0,0.11,0.11,0,0
Albany,2050,0.21,0.21,0,0,0.15,0.15,0,0
Bend,1990,0,0,0,0,0,0,0,0
Bend,1995,0,0,0,0,0,0,0,0
Bend,2000,0,0,0,0,0,0,0,0
Bend,2005,0,0,0,0,0,0,0,0
Bend,2010,0.01,0.01,0,0,0.01,0.01,0,0
Bend,2015,0.05,0.05,0,0,0.02,0.02,0,0
Bend,2020,0.07,0.07,0,0,0.03,0.03,0,0
Bend,2025,0.09,0.09,0,0,0.04,0.04,0,0
Bend,2030,0.11,0.11,0,0,0.06,0.06,0,0
Bend,2035,0.14,0.14,0,0,0.08,0.08,0,0
Bend,2040,0.17,0.17,0,0,0.11,0.11,0,0
Bend,2045,0.21,0.21,0,0,0.15,0.15,0,0
Bend,2050,0.25,0.25,0,0,0.2,0.2,0,0
Corvallis,1990,0,0,0,0,0,0,0,0
Corvallis,1995,0,0,0,0,0,0,0,0
Corvallis,2000,0,0,0,0,0,0,0,0
Corvallis,2005,0,0,0,0,0,0,0,0
Corvallis,2010,0.01,0.01,0,0,0.01,0.01,0,0
Corvallis,2015,0.05,0.05,0,0,0.02,0.02,0,0
Corvallis,2020,0.07,0.07,0,0,0.03,0.03,0,0
Corvallis,2025,0.09,0.09,0,0,0.04,0.04,0,0
Corvallis,2030,0.11,0.11,0,0,0.06,0.06,0,0
Corvallis,2035,0.14,0.14,0,0,0.08,0.08,0,0
Corvallis,2040,0.17,0.17,0,0,0.11,0.11,0,0
Corvallis,2045,0.21,0.21,0,0,0.15,0.15,0,0
Corvallis,2050,0.5,0.5,0,0,0.2,0.2,0,0
EugeneSpringfield,1990,0,0,0,0,0,0,0,0
EugeneSpringfield,1995,0,0,0,0,0,0,0,0
EugeneSpringfield,2000,0,0,0,0,0,0,0,0
EugeneSpringfield,2005,0.048,0.048,0,0,0,0,0,0
EugeneSpringfield,2010,0.048,0.048,0,0,0,0,0,0
EugeneSpringfield,2015,0.1,0.1,0,0,0.03,0.03,0,0
EugeneSpringfield,2020,0.19,0.19,0,0,0.05,0.05,0,0
EugeneSpringfield,2025,0.25,0.25,0,0,0.07,0.07,0,0
EugeneSpringfield,2030,0.31,0.31,0,0,0.11,0.11,0,0
EugeneSpringfield,2035,0.37,0.37,0,0,0.16,0.16,0,0
EugeneSpringfield,2040,0.43,0.43,0,0,0.23,0.23,0,0
EugeneSpringfield,2045,0.48,0.48,0,0,0.31,0.31,0,0
EugeneSpringfield,2050,0.5,0.5,0,0,0.4,0.4,0,0
GrantsPass,1990,0,0,0,0,0,0,0,0
GrantsPass,1995,0,0,0,0,0,0,0,0
GrantsPass,2000,0,0,0,0,0,0,0,0
GrantsPass,2005,0,0,0,0,0,0,0,0
GrantsPass,2010,0,0,0,0,0,0,0,0
GrantsPass,2015,0.01,0.01,0,0,0.01,0.01,0,0
GrantsPass,2020,0.05,0.05,0,0,0.02,0.02,0,0
GrantsPass,2025,0.07,0.07,0,0,0.03,0.03,0,0
GrantsPass,2030,0.09,0.09,0,0,0.04,0.04,0,0
GrantsPass,2035,0.11,0.11,0,0,0.06,0.06,0,0
GrantsPass,2040,0.14,0.14,0,0,0.08,0.08,0,0
GrantsPass,2045,0.17,0.17,0,0,0.11,0.11,0,0
GrantsPass,2050,0.21,0.21,0,0,0.15,0.15,0,0
Metro,1990,0,0,0,0,0,0,0,0
Metro,1995,0,0,0,0,0,0,0,0
Metro,2000,0,0,0,0,0,0,0,0
Metro,2005,0.2,0.2,0,0,0.09,0.09,0,0
Metro,2010,0.2,0.2,0,0,0.09,0.09,0,0
Metro,2015,0.22,0.22,0,0,0.13,0.13,0,0
Metro,2020,0.27,0.27,0,0,0.27,0.27,0,0
Metro,2025,0.32,0.32,0,0,0.45,0.45,0,0
Metro,2030,0.37,0.37,0,0,0.62,0.62,0,0
Metro,2035,0.41,0.41,0,0,0.72,0.72,0,0
Metro,2040,0.45,0.45,0,0,0.77,0.77,0,0
Metro,2045,0.49,0.49,0,0,0.79,0.79,0,0
Metro,2050,0.5,0.5,0,0,0.8,0.8,0,0
None,1990,0,0,0,0,0,0,0,0
None,1995,0,0,0,0,0,0,0,0
None,2000,0,0,0,0,0,0,0,0
None,2005,0,0,0,0,0,0,0,0
None,2010,0,0,0,0,0,0,0,0
None,2015,0.01,0.01,0,0,0.01,0.01,0,0
None,2020,0.05,0.05,0,0,0.02,0.02,0,0
None,2025,0.07,0.07,0,0,0.03,0.03,0,0
None,2030,0.09,0.09,0,0,0.04,0.04,0,0
None,2035,0.11,0.11,0,0,0.06,0.06,0,0
None,2040,0.14,0.14,0,0,0.08,0.08,0,0
None,2045,0.17,0.17,0,0,0.11,0.11,0,0
None,2050,0.21,0.21,0,0,0.15,0.15,0,0
RogueValley,1990,0,0,0,0,0,0,0,0
RogueValley,1995,0,0,0,0,0,0,0,0
RogueValley,2000,0,0,0,0,0,0,0,0
RogueValley,2005,0,0,0,0,0,0,0,0
RogueValley,2010,0.01,0.01,0,0,0.01,0.01,0,0
RogueValley,2015,0.05,0.05,0,0,0.02,0.02,0,0
RogueValley,2020,0.07,0.07,0,0,0.03,0.03,0,0
RogueValley,2025,0.09,0.09,0,0,0.04,0.04,0,0
RogueValley,2030,0.11,0.11,0,0,0.06,0.06,0,0
RogueValley,2035,0.14,0.14,0,0,0.08,0.08,0,0
RogueValley,2040,0.17,0.17,0,0,0.11,0.11,0,0
RogueValley,2045,0.21,0.21,0,0,0.15,0.15,0,0
RogueValley,2050,0.25,0.25,0,0,0.2,0.2,0,0
SalemKeizer,1990,0,0,0,0,0,0,0,0
SalemKeizer,1995,0,0,0,0,0,0,0,0
SalemKeizer,2000,0,0,0,0,0,0,0,0
SalemKeizer,2005,0.2,0.2,0,0,0,0,0,0
SalemKeizer,2010,0.2,0.2,0,0,0.01,0.01,0,0
SalemKeizer,2015,0.2,0.2,0,0,0.03,0.03,0,0
SalemKeizer,2020,0.2,0.2,0,0,0.05,0.05,0,0
SalemKeizer,2025,0.25,0.25,0,0,0.07,0.07,0,0
SalemKeizer,2030,0.31,0.31,0,0,0.11,0.11,0,0
SalemKeizer,2035,0.37,0.37,0,0,0.16,0.16,0,0
