Year,HhFuelCI,CarSvcFuelCI,ComSvcFuelCI,HvyTrkFuelCI,TransitVanFuelCI,TransitBusFuelCI,TransitRailFuelCI
1990,90.12,90.12,NA,NA,NA,NA,NA
1995,90.11,90.11,NA,NA,NA,NA,NA
2000,89.49,89.49,NA,NA,NA,NA,NA
2005,90.24,90.24,NA,NA,NA,NA,NA
2010,90.38,90.38,NA,NA,NA,NA,NA
2015,89.48,89.48,NA,NA,NA,NA,NA
2020,84.51,84.51,NA,NA,NA,NA,NA
2025,78.63,78.63,NA,NA,NA,NA,NA
2030,74.11,74.11,NA,NA,NA,NA,NA
2035,72.3,72.3,NA,NA,NA,NA,NA
2040,72.3,72.3,NA,NA,NA,NA,NA
2045,72.3,72.3,NA,NA,NA,NA,NA
2050,72.3,72.3,NA,NA,NA,NA,NA
