Geo,Year,HHIncomePC.2005,GQIncomePC.2005
Baker,1990,14484,0
Benton,1990,17131,0
Clackamas,1990,20974,0
Clatsop,1990,17349,0
Columbia,1990,16388,0
Coos,1990,15518,0
Crook,1990,14557,0
Curry,1990,16044,0
Deschutes,1990,18291,0
Douglas,1990,15173,0
Gilliam,1990,15445,0
Grant,1990,15137,0
Harney,1990,14593,0
Hood River,1990,16243,0
Jackson,1990,16497,0
Jefferson,1990,14321,0
Josephine,1990,14865,0
Klamath,1990,14666,0
Lake,1990,15862,0
Lane,1990,16660,0
Lincoln,1990,16062,0
Linn,1990,15427,0
Malheur,1990,14793,0
Marion,1990,17095,0
Morrow,1990,16207,0
Multnomah,1990,20811,0
Polk,1990,15627,0
Sherman,1990,18128,0
Tillamook,1990,14847,0
Umatilla,1990,14793,0
Union,1990,14974,0
Wallowa,1990,15808,0
Wasco,1990,16714,0
Washington,1990,20974,0
Wheeler,1990,13252,0
Yamhill,1990,16207,0
Baker,1995,14517,0
Benton,1995,19166,0
Clackamas,1995,22658,0
Clatsop,1995,17306,0
Columbia,1995,17686,0
Coos,1995,15940,0
Crook,1995,14726,0
Curry,1995,16585,0
Deschutes,1995,18786,0
Douglas,1995,15542,0
Gilliam,1995,17117,0
Grant,1995,15542,0
Harney,1995,14536,0
Hood River,1995,16699,0
Jackson,1995,17287,0
Jefferson,1995,14194,0
Josephine,1995,15200,0
Klamath,1995,15390,0
Lake,1995,15390,0
Lane,1995,17629,0
Lincoln,1995,16737,0
Linn,1995,16339,0
Malheur,1995,14308,0
Marion,1995,17667,0
Morrow,1995,13701,0
Multnomah,1995,21443,0
Polk,1995,16320,0
Sherman,1995,14688,0
Tillamook,1995,15636,0
Umatilla,1995,15371,0
Union,1995,15598,0
Wallowa,1995,15561,0
Wasco,1995,16604,0
Washington,1995,22088,0
Wheeler,1995,13113,0
Yamhill,1995,17192,0
Baker,2000,14650,0
Benton,2000,20459,0
Clackamas,2000,25553,0
Clatsop,2000,17426,0
Columbia,2000,18456,0
Coos,2000,15641,0
Crook,2000,14769,0
Curry,2000,17148,0
Deschutes,2000,19309,0
Douglas,2000,16038,0
Gilliam,2000,14194,0
Grant,2000,14928,0
Harney,2000,14591,0
Hood River,2000,16058,0
Jackson,2000,17901,0
Jefferson,2000,14392,0
Josephine,2000,15681,0
Klamath,2000,15066,0
Lake,2000,15522,0
Lane,2000,18139,0
Lincoln,2000,17624,0
Linn,2000,16077,0
Malheur,2000,13718,0
Marion,2000,17386,0
Morrow,2000,14670,0
Multnomah,2000,22659,0
Polk,2000,17227,0
Sherman,2000,15185,0
Tillamook,2000,16910,0
Umatilla,2000,15285,0
Union,2000,16355,0
Wallowa,2000,15820,0
Wasco,2000,16890,0
Washington,2000,23115,0
Wheeler,2000,13758,0
Yamhill,2000,16910,0
Baker,2005,16082,0
Benton,2005,21927,0
Clackamas,2005,26237,0
Clatsop,2005,19026,0
Columbia,2005,18942,0
Coos,2005,17407,0
Crook,2005,16398,0
Curry,2005,18017,0
Deschutes,2005,21506,0
Douglas,2005,17617,0
Gilliam,2005,17617,0
Grant,2005,16713,0
Harney,2005,16377,0
Hood River,2005,17848,0
Jackson,2005,20539,0
Jefferson,2005,15094,0
Josephine,2005,17071,0
Klamath,2005,16986,0
Lake,2005,16713,0
Lane,2005,19614,0
Lincoln,2005,19362,0
Linn,2005,17155,0
Malheur,2005,13392,0
Marion,2005,18752,0
Morrow,2005,17407,0
Multnomah,2005,23609,0
Polk,2005,17743,0
Sherman,2005,18038,0
Tillamook,2005,18689,0
Umatilla,2005,15956,0
Union,2005,17428,0
Wallowa,2005,18479,0
Wasco,2005,17533,0
Washington,2005,23314,0
Wheeler,2005,17302,0
Yamhill,2005,19698,0
Baker,2010,17306,0
Benton,2010,21397,0
