Geo,Year,ElectricityCI
Baker,1990,10.00424361
Benton,1990,196.3049314
Clackamas,1990,176.6996378
Clatsop,1990,235.603717
Columbia,1990,10.81063101
Coos,1990,188.329256
Crook,1990,179.2825975
Curry,1990,10.00424361
Deschutes,1990,142.0249799
Douglas,1990,202.4788349
Gilliam,1990,115.5149943
Grant,1990,10.00424361
Harney,1990,10.00424361
Hood River,1990,160.181296
Jackson,1990,206.9265653
Jefferson,1990,218.1025906
Josephine,1990,236.2211074
Klamath,1990,253.0796439
Lake,1990,128.2281955
Lane,1990,20.82747442
Lincoln,1990,91.53756908
Linn,1990,219.8161638
Malheur,1990,10.00424361
Marion,1990,181.9159563
Morrow,1990,17.08533292
Multnomah,1990,187.9890614
Polk,1990,132.0711355
Sherman,1990,213.8690568
Tillamook,1990,11.15082569
Umatilla,1990,139.8578137
Union,1990,10.00424361
Wallowa,1990,258.4597598
Wasco,1990,23.46083326
Washington,1990,175.7672524
Wheeler,1990,10.00424361
Yamhill,1990,126.980815
Baker,1995,10.00424361
Benton,1995,196.3049314
Clackamas,1995,176.6996378
Clatsop,1995,235.603717
Columbia,1995,10.81063101
Coos,1995,188.329256
Crook,1995,179.2825975
Curry,1995,10.00424361
Deschutes,1995,142.0249799
Douglas,1995,202.4788349
Gilliam,1995,115.5149943
Grant,1995,10.00424361
Harney,1995,10.00424361
Hood River,1995,160.181296
Jackson,1995,206.9265653
Jefferson,1995,218.1025906
Josephine,1995,236.2211074
Klamath,1995,253.0796439
Lake,1995,128.2281955
Lane,1995,20.82747442
Lincoln,1995,91.53756908
Linn,1995,219.8161638
Malheur,1995,10.00424361
Marion,1995,181.9159563
Morrow,1995,17.08533292
Multnomah,1995,187.9890614
Polk,1995,132.0711355
Sherman,1995,213.8690568
Tillamook,1995,11.15082569
Umatilla,1995,139.8578137
Union,1995,10.00424361
Wallowa,1995,258.4597598
Wasco,1995,23.46083326
Washington,1995,175.7672524
Wheeler,1995,10.00424361
Yamhill,1995,126.980815
Baker,2000,10.00424361
Benton,2000,196.3049314
Clackamas,2000,176.6996378
Clatsop,2000,235.603717
Columbia,2000,10.81063101
Coos,2000,188.329256
Crook,2000,179.2825975
Curry,2000,10.00424361
Deschutes,2000,142.0249799
Douglas,2000,202.4788349
Gilliam,2000,115.5149943
Grant,2000,10.00424361
Harney,2000,10.00424361
Hood River,2000,160.181296
Jackson,2000,206.9265653
Jefferson,2000,218.1025906
Josephine,2000,236.2211074
Klamath,2000,253.0796439
Lake,2000,128.2281955
Lane,2000,20.82747442
Lincoln,2000,91.53756908
Linn,2000,219.8161638
