Geo,Year,FuelCost.2005,PowerCost.2005
Baker,1990,1.63,0.073
Benton,1990,1.63,0.073
Clackamas,1990,1.63,0.073
Clatsop,1990,1.63,0.073
Columbia,1990,1.63,0.073
Coos,1990,1.63,0.073
Crook,1990,1.63,0.073
Curry,1990,1.63,0.073
Deschutes,1990,1.63,0.073
Douglas,1990,1.63,0.073
Gilliam,1990,1.63,0.073
Grant,1990,1.63,0.073
Harney,1990,1.63,0.073
Hood River,1990,1.63,0.073
Jackson,1990,1.63,0.073
Jefferson,1990,1.63,0.073
Josephine,1990,1.63,0.073
Klamath,1990,1.63,0.073
Lake,1990,1.63,0.073
Lane,1990,1.63,0.073
Lincoln,1990,1.63,0.073
Linn,1990,1.63,0.073
Malheur,1990,1.63,0.073
Marion,1990,1.63,0.073
Morrow,1990,1.63,0.073
Multnomah,1990,1.63,0.073
Polk,1990,1.63,0.073
Sherman,1990,1.63,0.073
Tillamook,1990,1.63,0.073
Umatilla,1990,1.63,0.073
Union,1990,1.63,0.073
Wallowa,1990,1.63,0.073
Wasco,1990,1.63,0.073
Washington,1990,1.63,0.073
Wheeler,1990,1.63,0.073
Yamhill,1990,1.63,0.073
Baker,1995,1.17,0.07
Benton,1995,1.17,0.07
Clackamas,1995,1.17,0.07
Clatsop,1995,1.17,0.07
Columbia,1995,1.17,0.07
Coos,1995,1.17,0.07
Crook,1995,1.17,0.07
Curry,1995,1.17,0.07
Deschutes,1995,1.17,0.07
Douglas,1995,1.17,0.07
Gilliam,1995,1.17,0.07
Grant,1995,1.17,0.07
Harney,1995,1.17,0.07
Hood River,1995,1.17,0.07
Jackson,1995,1.17,0.07
Jefferson,1995,1.17,0.07
Josephine,1995,1.17,0.07
Klamath,1995,1.17,0.07
Lake,1995,1.17,0.07
Lane,1995,1.17,0.07
Lincoln,1995,1.17,0.07
Linn,1995,1.17,0.07
Malheur,1995,1.17,0.07
Marion,1995,1.17,0.07
Morrow,1995,1.17,0.07
Multnomah,1995,1.17,0.07
Polk,1995,1.17,0.07
Sherman,1995,1.17,0.07
Tillamook,1995,1.17,0.07
Umatilla,1995,1.17,0.07
Union,1995,1.17,0.07
Wallowa,1995,1.17,0.07
Wasco,1995,1.17,0.07
Washington,1995,1.17,0.07
Wheeler,1995,1.17,0.07
Yamhill,1995,1.17,0.07
Baker,2000,1.47,0.065
Benton,2000,1.47,0.065
Clackamas,2000,1.47,0.065
Clatsop,2000,1.47,0.065
Columbia,2000,1.47,0.065
Coos,2000,1.47,0.065
Crook,2000,1.47,0.065
Curry,2000,1.47,0.065
Deschutes,2000,1.47,0.065
Douglas,2000,1.47,0.065
Gilliam,2000,1.47,0.065
Grant,2000,1.47,0.065
Harney,2000,1.47,0.065
Hood River,2000,1.47,0.065
Jackson,2000,1.47,0.065
Jefferson,2000,1.47,0.065
Josephine,2000,1.47,0.065
Klamath,2000,1.47,0.065
Lake,2000,1.47,0.065
Lane,2000,1.47,0.065
Lincoln,2000,1.47,0.065
Linn,2000,1.47,0.065
Malheur,2000,1.47,0.065
Marion,2000,1.47,0.065
Morrow,2000,1.47,0.065
