Geo,Year,AutoMeanAge,LtTrkMeanAge
Baker,1990,10.53,10.41
Benton,1990,10.54,10.51
Clackamas,1990,10.52,10.53
Clatsop,1990,10.55,10.56
Columbia,1990,10.54,10.45
Coos,1990,10.48,10.57
Crook,1990,10.52,10.64
Curry,1990,10.63,10.51
Deschutes,1990,10.48,10.61
Douglas,1990,10.5,10.51
Gilliam,1990,10.79,10.81
Grant,1990,10.48,10.44
Harney,1990,10.5,10.49
Hood River,1990,10.51,10.67
Jackson,1990,10.55,10.53
Jefferson,1990,10.5,10.5
Josephine,1990,10.59,10.53
Klamath,1990,10.56,10.51
Lake,1990,10.62,10.66
Lane,1990,10.53,10.54
Lincoln,1990,10.58,10.53
Linn,1990,10.61,10.55
Malheur,1990,10.66,10.62
Marion,1990,10.54,10.52
Morrow,1990,10.54,10.6
Multnomah,1990,10.52,10.56
Polk,1990,10.51,10.53
Sherman,1990,10.27,10.5
Tillamook,1990,10.6,10.6
Umatilla,1990,10.57,10.6
Union,1990,10.57,10.55
Wallowa,1990,10.32,10.62
Wasco,1990,10.5,10.63
Washington,1990,10.54,10.52
Wheeler,1990,10.55,10.55
Yamhill,1990,10.56,10.56
Baker,1995,10.5121072,10.42400711
Benton,1995,10.53602701,10.51405391
Clackamas,1995,10.53074173,10.54510752
Clatsop,1995,10.55042384,10.54139783
Columbia,1995,10.55283079,10.51763754
Coos,1995,10.5094325,10.57398398
Crook,1995,10.52497091,10.6299329
Curry,1995,10.61830373,10.50093512
Deschutes,1995,10.50572249,10.59867914
Douglas,1995,10.52578965,10.53295187
Gilliam,1995,10.82134538,10.77269774
Grant,1995,10.4395795,10.52996158
Harney,1995,10.543257,10.55352368
Hood River,1995,10.51760963,10.63203339
Jackson,1995,10.54162828,10.54831307
Jefferson,1995,10.52084571,10.52784623
Josephine,1995,10.57071016,10.54629987
Klamath,1995,10.56533481,10.53197618
Lake,1995,10.65059089,10.63962922
Lane,1995,10.54436964,10.55043418
Lincoln,1995,10.54194407,10.5370216
Linn,1995,10.60095861,10.5412372
Malheur,1995,10.64200483,10.633467
Marion,1995,10.54348813,10.53682637
Morrow,1995,10.53969984,10.60835624
Multnomah,1995,10.52251978,10.55354125
Polk,1995,10.51381191,10.56001482
Sherman,1995,10.17716714,10.57493394
Tillamook,1995,10.57400531,10.61323476
Umatilla,1995,10.57178631,10.63038501
Union,1995,10.57377202,10.5479768
Wallowa,1995,10.41227067,10.57315935
Wasco,1995,10.52471228,10.59662779
Washington,1995,10.53749292,10.52712456
Wheeler,1995,10.47635328,10.65040737
Yamhill,1995,10.54034507,10.56181202
Baker,2000,10.49421439,10.43801421
Benton,2000,10.53205401,10.51810783
Clackamas,2000,10.54148346,10.56021504
Clatsop,2000,10.55084769,10.52279567
Columbia,2000,10.56566157,10.58527508
Coos,2000,10.53886501,10.57796797
Crook,2000,10.52994181,10.6198658
Curry,2000,10.60660747,10.49187023
Deschutes,2000,10.53144498,10.58735828
Douglas,2000,10.5515793,10.55590374
Gilliam,2000,10.85269076,10.73539548
Grant,2000,10.399159,10.61992317
Harney,2000,10.58651399,10.61704737
Hood River,2000,10.52521927,10.59406677
Jackson,2000,10.53325656,10.56662615
Jefferson,2000,10.54169143,10.55569246
Josephine,2000,10.55142033,10.56259974
Klamath,2000,10.57066961,10.55395236
Lake,2000,10.68118178,10.61925843
Lane,2000,10.55873928,10.56086836
Lincoln,2000,10.50388815,10.54404319
Linn,2000,10.59191722,10.5324744
Malheur,2000,10.62400967,10.646934
Marion,2000,10.54697625,10.55365275
Morrow,2000,10.53939969,10.61671248
Multnomah,2000,10.52503955,10.54708251
Polk,2000,10.51762382,10.59002963
Sherman,2000,10.08433428,10.64986787
Tillamook,2000,10.54801061,10.62646951
Umatilla,2000,10.57357263,10.66077001
Union,2000,10.57754404,10.54595361
Wallowa,2000,10.50454133,10.5263187
Wasco,2000,10.54942456,10.56325559
Washington,2000,10.53498584,10.53424912
Wheeler,2000,10.40270655,10.75081473
Yamhill,2000,10.52069013,10.56362405
Baker,2005,10.47632159,10.45202132
Benton,2005,10.52808102,10.52216174
Clackamas,2005,10.55222519,10.57532256
Clatsop,2005,10.55127153,10.5041935
Columbia,2005,10.57849236,10.65291262
Coos,2005,10.56829751,10.58195195
Crook,2005,10.53491272,10.6097987
Curry,2005,10.5949112,10.48280535
Deschutes,2005,10.55716747,10.57603742
Douglas,2005,10.57736895,10.57885561
Gilliam,2005,10.88403614,10.69809322
Grant,2005,10.3587385,10.70988475
Harney,2005,10.62977099,10.68057105
Hood River,2005,10.5328289,10.55610016
Jackson,2005,10.52488484,10.58493922
Jefferson,2005,10.56253714,10.58353869
Josephine,2005,10.53213049,10.57889961
Klamath,2005,10.57600442,10.57592854
Lake,2005,10.71177267,10.59888765
Lane,2005,10.57310892,10.57130254
Lincoln,2005,10.46583222,10.55106479
Linn,2005,10.58287583,10.5237116
Malheur,2005,10.6060145,10.660401
Marion,2005,10.55046438,10.57047912
Morrow,2005,10.53909953,10.62506872
Multnomah,2005,10.52755933,10.54062376
Polk,2005,10.52143573,10.62004445
Sherman,2005,9.991501416,10.72480181
Tillamook,2005,10.52201592,10.63970427
Umatilla,2005,10.57535894,10.69115502
Union,2005,10.58131606,10.54393041
Wallowa,2005,10.596812,10.47947805
Wasco,2005,10.57413684,10.52988338
Washington,2005,10.53247876,10.54137368
Wheeler,2005,10.32905983,10.8512221
Yamhill,2005,10.5010352,10.56543607
Baker,2010,10.72922151,10.56855151
Benton,2010,10.51686899,10.56685182
Clackamas,2010,10.56368715,10.55344532
Clatsop,2010,10.5397984,10.65078621
Columbia,2010,10.53493677,10.58100416
Coos,2010,10.56327021,10.49000268
Crook,2010,10.49499393,10.57996485
Curry,2010,10.46974541,10.63453041
Deschutes,2010,10.52402971,10.54986786
