Geo,Year,AveHhSize,Prop1PerHh
Baker,1990,2.3849,0.312358
Benton,1990,2.4283,0.2823091
Clackamas,1990,2.4778,0.2406132
Clatsop,1990,2.4088,0.3152678
Columbia,1990,2.5342,0.233243
Coos,1990,2.3787,0.2977186
Crook,1990,2.4443,0.2412947
Curry,1990,2.1858,0.3235096
Deschutes,1990,2.428,0.2410979
Douglas,1990,2.4685,0.2658307
Gilliam,1990,2.3348,0.3564815
Grant,1990,2.4338,0.303401
Harney,1990,2.4501,0.300156
Hood River,1990,2.4697,0.2379787
Jackson,1990,2.406,0.2772762
Jefferson,1990,2.6275,0.221709
Josephine,1990,2.3286,0.2834959
Klamath,1990,2.4702,0.2731672
Lake,1990,2.445,0.3134991
Lane,1990,2.4249,0.2889577
Lincoln,1990,2.2918,0.3124088
Linn,1990,2.4774,0.2438577
Malheur,1990,2.5863,0.2602056
Marion,1990,2.4702,0.2503964
Morrow,1990,2.5785,0.1912666
Multnomah,1990,2.3609,0.3264214
Polk,1990,2.4792,0.2296055
Sherman,1990,2.3544,0.3059126
Tillamook,1990,2.2918,0.2908436
Umatilla,1990,2.5168,0.2473238
Union,1990,2.5096,0.2763546
Wallowa,1990,2.377,0.3003511
Wasco,1990,2.4285,0.2876371
Washington,1990,2.4992,0.2509727
Wheeler,1990,2.1351,0.3241167
Yamhill,1990,2.5592,0.2167502
Baker,1995,2.33,0.312358
Benton,1995,2.3704,0.2823091
Clackamas,1995,2.4467,0.2406132
Clatsop,1995,2.3595,0.3152678
Columbia,1995,2.4863,0.233243
Coos,1995,2.3188,0.2977186
Crook,1995,2.4103,0.2412947
Curry,1995,2.1455,0.3235096
Deschutes,1995,2.3983,0.2410979
Douglas,1995,2.4043,0.2658307
Gilliam,1995,2.2663,0.3564815
Grant,1995,2.3638,0.303401
Harney,1995,2.3948,0.300156
Hood River,1995,2.4628,0.2379787
Jackson,1995,2.3749,0.2772762
Jefferson,1995,2.5813,0.221709
Josephine,1995,2.2993,0.2834959
Klamath,1995,2.4354,0.2731672
Lake,1995,2.3644,0.3134991
Lane,1995,2.3782,0.2889577
Lincoln,1995,2.253,0.3124088
Linn,1995,2.4494,0.2438577
Malheur,1995,2.5364,0.2602056
Marion,1995,2.4725,0.2503964
Morrow,1995,2.5657,0.1912666
Multnomah,1995,2.3462,0.3264214
Polk,1995,2.4379,0.2296055
Sherman,1995,2.2863,0.3059126
Tillamook,1995,2.2571,0.2908436
Umatilla,1995,2.5002,0.2473238
Union,1995,2.4461,0.2763546
Wallowa,1995,2.3014,0.3003511
Wasco,1995,2.3956,0.2876371
Washington,1995,2.4922,0.2509727
Wheeler,1995,2.0825,0.3241167
Yamhill,1995,2.5158,0.2167502
Baker,2000,2.2751,0.312358
Benton,2000,2.3124,0.2823091
Clackamas,2000,2.4156,0.2406132
Clatsop,2000,2.3101,0.3152678
Columbia,2000,2.4385,0.233243
Coos,2000,2.2589,0.2977186
Crook,2000,2.3763,0.2412947
Curry,2000,2.1053,0.3235096
Deschutes,2000,2.3686,0.2410979
Douglas,2000,2.3402,0.2658307
Gilliam,2000,2.1978,0.3564815
Grant,2000,2.2937,0.303401
Harney,2000,2.3396,0.300156
Hood River,2000,2.4559,0.2379787
Jackson,2000,2.3438,0.2772762
Jefferson,2000,2.5352,0.221709
Josephine,2000,2.2701,0.2834959
Klamath,2000,2.4005,0.2731672
Lake,2000,2.2839,0.3134991
