Geo,Year,MetroLandArea,TownLandArea,RuralAveDensity
Baker,1990,0,12.04549766,0.128125
Benton,1990,31.0828125,0.535929688,0.2625
Clackamas,1990,66.7828125,10.43350203,0.428125
Clatsop,1990,0,35.66853125,0.0953125
Columbia,1990,0,20.42993266,0.2265625
Coos,1990,0,33.58550781,0.221875
Crook,1990,0,8.193546875,0.0609375
Curry,1990,0,15.68492188,0.1234375
Deschutes,1990,32.453125,17.13914063,0.25625
Douglas,1990,0,38.04799375,0.2828125
Gilliam,1990,0,3.851282813,0.003125
Grant,1990,0,12.35170938,0.01875
Harney,1990,0,6.609640625,0.2640625
Hood River,1990,0,7.474984375,0.2765625
Jackson,1990,46.053125,2.930892188,0.409375
Jefferson,1990,0,5.361125,0.3140625
Josephine,1990,16.49375,2.645046875,0.23125
Klamath,1990,0,40.18010938,0.0875
Lake,1990,0,6.072604688,0.1
Lane,1990,75.9734375,28.1503125,0.25625
Lincoln,1990,0,28.54432344,0.1796875
Linn,1990,28.2140625,23.72629172,0.1609375
Malheur,1990,0,14.06800313,0.1234375
Marion,1990,61.1015625,22.42227813,0.309375
Morrow,1990,0,10.59152656,0.2015625
Multnomah,1990,148.059375,0,0.221875
Polk,1990,8.2125,13.27948281,0.2390625
Sherman,1990,0,3.32371875,0.0046875
Tillamook,1990,0,11.01736563,0.0640625
Umatilla,1990,0,47.9025875,0.1609375
Union,1990,0,11.67176875,0.3265625
Wallowa,1990,0,4.236554688,0.0609375
Wasco,1990,0,11.8780375,0.340625
Washington,1990,100.9875,1.7810125,0.50625
Wheeler,1990,0,1.531298438,0.0015625
Yamhill,1990,0,26.57121563,0.403125
Baker,1995,0,12.36742438,0.128125
Benton,1995,31.0828125,0.535929688,0.2625
Clackamas,1995,68.58203125,13.12513992,0.428125
Clatsop,1995,0,35.71270313,0.0953125
Columbia,1995,0,21.12263578,0.2265625
Coos,1995,0,34.16932031,0.221875
Crook,1995,0,9.519164063,0.0609375
Curry,1995,0,19.29202344,0.1234375
Deschutes,1995,32.46328125,17.1693125,0.25625
Douglas,1995,0,39.89215469,0.2828125
Gilliam,1995,0,3.851282813,0.003125
Grant,1995,0,12.35170938,0.01875
Harney,1995,0,6.9118125,0.2640625
Hood River,1995,0,7.474984375,0.2765625
Jackson,1995,46.053125,3.218532813,0.409375
Jefferson,1995,0,5.661789063,0.3140625
Josephine,1995,16.50234375,2.645046875,0.23125
Klamath,1995,0,40.18010938,0.0875
Lake,1995,0,6.072604688,0.1
Lane,1995,76.0078125,28.19928125,0.25625
Lincoln,1995,0,28.61330781,0.1796875
Linn,1995,28.2859375,23.76550031,0.1609375
Malheur,1995,0,14.30100313,0.1234375
Marion,1995,61.1015625,22.69405391,0.309375
Morrow,1995,0,10.74165938,0.2015625
Multnomah,1995,149.1210938,0,0.221875
Polk,1995,8.2125,13.28046719,0.2390625
Sherman,1995,0,3.336100781,0.0046875
Tillamook,1995,0,11.02306875,0.0640625
Umatilla,1995,0,48.61815,0.1609375
Union,1995,0,11.86144297,0.3265625
Wallowa,1995,0,4.236554688,0.0609375
