Geo,Year,HighCarSvcCost.2005,LowCarSvcCost.2005,AveCarSvcVehicleAge,LtTrkCarSvcSubProp,AutoCarSvcSubProp
Baker,2010,2,4,9,0.75,0.95
Benton,2010,2,4,9,0.75,0.95
Clackamas,2010,2,4,7,0.75,0.95
Clatsop,2010,2,4,9,0.75,0.95
Columbia,2010,2,4,9,0.75,0.95
Coos,2010,2,4,9,0.75,0.95
Crook,2010,2,4,9,0.75,0.95
Curry,2010,2,4,9,0.75,0.95
Deschutes,2010,2,4,9,0.75,0.95
Douglas,2010,2,4,9,0.75,0.95
Gilliam,2010,2,4,9,0.75,0.95
Grant,2010,2,4,9,0.75,0.95
Harney,2010,2,4,9,0.75,0.95
Hood River,2010,2,4,9,0.75,0.95
Jackson,2010,2,4,9,0.75,0.95
Jefferson,2010,2,4,9,0.75,0.95
Josephine,2010,2,4,9,0.75,0.95
Klamath,2010,2,4,9,0.75,0.95
Lake,2010,2,4,9,0.75,0.95
Lane,2010,2,4,7,0.75,0.95
Lincoln,2010,2,4,9,0.75,0.95
Linn,2010,2,4,9,0.75,0.95
Malheur,2010,2,4,9,0.75,0.95
Marion,2010,2,4,9,0.75,0.95
Morrow,2010,2,4,9,0.75,0.95
Multnomah,2010,2,4,7,0.75,0.95
Polk,2010,2,4,9,0.75,0.95
Sherman,2010,2,4,9,0.75,0.95
Tillamook,2010,2,4,9,0.75,0.95
Umatilla,2010,2,4,9,0.75,0.95
Union,2010,2,4,9,0.75,0.95
Wallowa,2010,2,4,9,0.75,0.95
Wasco,2010,2,4,9,0.75,0.95
Washington,2010,2,4,7,0.75,0.95
Wheeler,2010,2,4,9,0.75,0.95
Yamhill,2010,2,4,9,0.75,0.95
