Geo,Year,FuelCost.2005,PowerCost.2005
Baker,2010,2.249049777,0.08
Benton,2010,2.249049777,0.08
Clackamas,2010,2.249049777,0.08
Clatsop,2010,2.249049777,0.08
Columbia,2010,2.249049777,0.08
Coos,2010,2.249049777,0.08
Crook,2010,2.249049777,0.08
Curry,2010,2.249049777,0.08
Deschutes,2010,2.249049777,0.08
Douglas,2010,2.249049777,0.08
Gilliam,2010,2.249049777,0.08
Grant,2010,2.249049777,0.08
Harney,2010,2.249049777,0.08
Hood River,2010,2.249049777,0.08
Jackson,2010,2.249049777,0.08
Jefferson,2010,2.249049777,0.08
Josephine,2010,2.249049777,0.08
Klamath,2010,2.249049777,0.08
Lake,2010,2.249049777,0.08
Lane,2010,2.249049777,0.08
Lincoln,2010,2.249049777,0.08
Linn,2010,2.249049777,0.08
Malheur,2010,2.249049777,0.08
Marion,2010,2.249049777,0.08
Morrow,2010,2.249049777,0.08
Multnomah,2010,2.249049777,0.08
Polk,2010,2.249049777,0.08
Sherman,2010,2.249049777,0.08
Tillamook,2010,2.249049777,0.08
Umatilla,2010,2.249049777,0.08
Union,2010,2.249049777,0.08
Wallowa,2010,2.249049777,0.08
Wasco,2010,2.249049777,0.08
Washington,2010,2.249049777,0.08
Wheeler,2010,2.249049777,0.08
Yamhill,2010,2.249049777,0.08
