Geo,Year,PropMetroHh,PropTownHh,PropRuralHh
Baker,2010,0,0.706768315,0.293231685
Benton,2010,0.833124348,0.007209713,0.15966594
Clackamas,2010,0.748871736,0.096643014,0.154485251
Clatsop,2010,0,0.649990551,0.350009449
Columbia,2010,0,0.552592653,0.447407347
Coos,2010,0,0.600352141,0.399647859
Crook,2010,0,0.441081133,0.558918867
Curry,2010,0,0.434716509,0.565283491
Deschutes,2010,0.528975818,0.189598879,0.281425303
Douglas,2010,0,0.457531091,0.542468909
Gilliam,2010,0,0.695884554,0.304115446
Grant,2010,0,0.617461383,0.382538617
Harney,2010,0,0.588655349,0.411344651
Hood River,2010,0,0.375995704,0.624004296
Jackson,2010,0.94380895,0.016372548,0.039818502
Jefferson,2010,0,0.374585635,0.625414365
Josephine,2010,0.565436961,0.023031446,0.411531593
Klamath,2010,0,0.3561163,0.6438837
Lake,2010,0,0.030778974,0.969221026
Lane,2010,0.627981118,0.111317402,0.26070148
Lincoln,2010,0,0.580636052,0.419363948
Linn,2010,0.336349586,0.297773535,0.365876879
Malheur,2010,0,0.538594194,0.461405806
Marion,2010,0.566701154,0.178436159,0.254862687
Morrow,2010,0,0.617918196,0.382081804
Multnomah,2010,0.998444737,0,0.001555263
Polk,2010,0.297563619,0.462399172,0.240037209
Sherman,2010,0,0.649858357,0.350141643
Tillamook,2010,0,0.38,0.62
Umatilla,2010,0,0.712487976,0.287512024
Union,2010,0,0.750854435,0.249145565
Wallowa,2010,0,0.576769406,0.423230594
Wasco,2010,0,0.601197795,0.398802205
Washington,2010,0.952950799,0.008000195,0.039049007
Wheeler,2010,0,0.529493407,0.470506593
Yamhill,2010,0,0.764922243,0.235077757
