Geo,Year,LtTrkProp
Baker,2010,0.63
Benton,2010,0.48
Clackamas,2010,0.51
Clatsop,2010,0.57
Columbia,2010,0.54
Coos,2010,0.59
Crook,2010,0.64
Curry,2010,0.6
Deschutes,2010,0.61
Douglas,2010,0.57
Gilliam,2010,0.61
Grant,2010,0.68
Harney,2010,0.69
Hood River,2010,0.54
Jackson,2010,0.54
Jefferson,2010,0.61
Josephine,2010,0.56
Klamath,2010,0.62
Lake,2010,0.69
Lane,2010,0.51
Lincoln,2010,0.55
Linn,2010,0.54
Malheur,2010,0.59
Marion,2010,0.51
Morrow,2010,0.58
Multnomah,2010,0.42
Polk,2010,0.52
Sherman,2010,0.57
Tillamook,2010,0.6
Umatilla,2010,0.56
Union,2010,0.6
Wallowa,2010,0.68
Wasco,2010,0.55
Washington,2010,0.46
Wheeler,2010,0.67
Yamhill,2010,0.53
