Geo,Year,Age0to14,Age15to19,Age20to29,Age30to54,Age55to64,Age65Plus
Baker,2010,2597,960,1540,4938,2656,3494
Benton,2010,12198,8668,19134,24765,10646,10324
Clackamas,2010,72392,26015,40587,131705,54061,51233
Clatsop,2010,6231,2371,4594,11650,6156,6069
Columbia,2010,9521,3371,5044,17057,7377,7060
Coos,2010,9720,3836,6628,19076,10394,13381
Crook,2010,3853,1259,1980,6570,3264,4094
Curry,2010,2787,1103,1787,6061,4268,6349
Deschutes,2010,29633,9595,18292,54385,22588,23412
Douglas,2010,17908,6820,11413,32468,16955,22127
Gilliam,2010,278,109,140,617,321,405
Grant,2010,1171,432,638,2201,1312,1707
Harney,2010,1302,526,737,2339,1171,1371
Hood River,2010,4748,1540,2575,7957,2748,2818
Jackson,2010,36517,13268,24863,63286,30043,35364
Jefferson,2010,4511,1538,2512,6923,2870,3396
Josephine,2010,13598,5170,8137,24297,13315,18258
Klamath,2010,12270,4576,8066,20508,9838,11248
Lake,2010,1159,480,742,2600,1324,1586
Lane,2010,57657,24794,54170,112625,49960,52803
Lincoln,2010,6501,2394,4476,13969,8747,10049
Linn,2010,23580,7881,14153,37518,15900,17807
Malheur,2010,6603,2252,4179,10074,3613,4625
Marion,2010,68963,23550,43904,102274,36727,40481
Morrow,2010,2620,894,1284,3575,1423,1379
Multnomah,2010,127423,41436,123046,278236,87769,77424
Polk,2010,15120,5951,10729,22989,9882,10825
Sherman,2010,287,95,169,556,271,387
Tillamook,2010,3935,1478,2451,7641,4380,5375
Umatilla,2010,16586,5622,10238,24586,9204,9764
Union,2010,4811,1910,3567,7501,3720,4301
Wallowa,2010,1096,318,656,2010,1332,1593
Wasco,2010,4849,1676,2897,7684,3745,4383
Washington,2010,113829,34172,72678,197655,58268,53108
Wheeler,2010,212,76,94,366,250,442
Yamhill,2010,20258,7758,13350,32994,11981,13064
