Geo,Year,AutoMeanAge,LtTrkMeanAge
Grant,2010,11.70261283,13.369308
Harney,2010,11.48291836,13.3488287
Lake,2010,12.01285347,13.22953504
Wheeler,2010,10.86666667,12.98597721
Josephine,2010,10.81677515,12.84677242
Jefferson,2010,11.02780778,12.7159536
Coos,2010,11.22429009,12.63515155
Douglas,2010,10.89142356,12.58984231
Wasco,2010,10.7848482,12.56162988
Crook,2010,11.28403124,12.47062136
Klamath,2010,10.88239104,12.46667818
Baker,2010,11.02322787,12.44316339
Malheur,2010,10.72012269,12.42174219
Wallowa,2010,10.57427117,12.33655506
Linn,2010,10.7075905,12.3132792
Tillamook,2010,10.2607447,12.29038081
Columbia,2010,10.47443428,12.20247198
Curry,2010,10.3434118,12.13152034
Hood River,2010,10.54751299,12.113769
Sherman,2010,10.60023725,11.91713483
Yamhill,2010,10.31197778,11.79662267
Jackson,2010,9.874688355,11.72305334
Gilliam,2010,10.39087019,11.71077763
Union,2010,10.52672817,11.66886224
Lane,2010,10.10374361,11.65737979
Umatilla,2010,10.14978409,11.61331129
Lincoln,2010,10.12842218,11.57610538
Morrow,2010,9.983131385,11.4788203
Marion,2010,10.07225114,11.30787409
Polk,2010,9.668815522,11.23254231
Clatsop,2010,9.822679717,11.20784277
Benton,2010,9.511274897,11.01677419
Deschutes,2010,9.748630778,10.70974996
Clackamas,2010,8.659239669,9.761037691
Multnomah,2010,8.29495471,9.539776688
Washington,2010,7.580219341,8.33674416
