Geo,Year,PropSovDvmtDiverted
Baker,2010,0.04
Benton,2010,0.09
Clackamas,2010,0.09
Clatsop,2010,0.04
Columbia,2010,0.04
Coos,2010,0.04
Crook,2010,0.04
Curry,2010,0.04
Deschutes,2010,0.06
Douglas,2010,0.04
Gilliam,2010,0.04
Grant,2010,0.04
Harney,2010,0.04
Hood River,2010,0.04
Jackson,2010,0.04
Jefferson,2010,0.04
Josephine,2010,0.011
Klamath,2010,0.04
Lake,2010,0.04
Lane,2010,0.06
Lincoln,2010,0.04
Linn,2010,0.017
Malheur,2010,0.04
Marion,2010,0.04
Morrow,2010,0.04
Multnomah,2010,0.09
Polk,2010,0.04
Sherman,2010,0.04
Tillamook,2010,0.04
Umatilla,2010,0.04
Union,2010,0.04
Wallowa,2010,0.04
Wasco,2010,0.04
Washington,2010,0.09
Wheeler,2010,0.04
Yamhill,2010,0.04
