Geo,Year,OwnedVehAccessTime,HighCarSvcAccessTime,LowCarSvcAccessTime
Baker,2010,2,10,20
Benton,2010,2,10,20
Clackamas,2010,2,10,20
Clatsop,2010,2,10,20
Columbia,2010,2,10,20
Coos,2010,2,10,20
Crook,2010,2,10,20
Curry,2010,2,10,20
Deschutes,2010,2,10,20
Douglas,2010,2,10,20
Gilliam,2010,2,10,20
Grant,2010,2,10,20
Harney,2010,2,10,20
Hood River,2010,2,10,20
Jackson,2010,2,10,20
Jefferson,2010,2,10,20
Josephine,2010,2,10,20
Klamath,2010,2,10,20
Lake,2010,2,10,20
Lane,2010,2,10,20
Lincoln,2010,2,10,20
Linn,2010,2,10,20
Malheur,2010,2,10,20
Marion,2010,2,10,20
Morrow,2010,2,10,20
Multnomah,2010,2,5,20
Polk,2010,2,10,20
Sherman,2010,2,10,20
Tillamook,2010,2,10,20
Umatilla,2010,2,10,20
Union,2010,2,10,20
Wallowa,2010,2,10,20
Wasco,2010,2,10,20
Washington,2010,2,10,20
Wheeler,2010,2,10,20
Yamhill,2010,2,10,20
