Geo,Year,PropWkrInMetroJobs,PropWkrInTownJobs,PropWkrInRuralJobs,PropMetroJobs
Baker,2010,0,1,0,0
Benton,2010,0.875071247,0.012358153,0.1125706,1
Clackamas,2010,0.820281904,0.153756315,0.025961781,0.2
Clatsop,2010,0,0.886527215,0.113472785,0
Columbia,2010,0,0.88,0.12,0
Coos,2010,0,0.921492779,0.078507221,0
Crook,2010,0,0.932450936,0.067549064,0
Curry,2010,0,0.781000205,0.218999795,0
Deschutes,2010,0.627698343,0.296536194,0.075765464,1
Douglas,2010,0,0.899329318,0.100670682,0
Gilliam,2010,0,1,0,0
Grant,2010,0,1,0,0
Harney,2010,0,0.845800123,0.154199877,0
Hood River,2010,0,0.741539383,0.258460617,0
Jackson,2010,0.947341012,0.007040561,0.045618428,1
Jefferson,2010,0,0.776189728,0.223810272,0
Josephine,2010,0.854945128,0.045124499,0.099930374,1
Klamath,2010,0,0.846046382,0.153953618,0
Lake,2010,0,0.823085523,0.176914477,0
Lane,2010,0.844546204,0.108092927,0.047360869,1
Lincoln,2010,0,0.956138972,0.043861028,0
Linn,2010,0.534046439,0.367271067,0.098682494,1
Malheur,2010,0,0.865938732,0.134061268,0
Marion,2010,0.778256432,0.1721896,0.049553968,0.9
Morrow,2010,0,1,0,0
Multnomah,2010,0.995544968,0,0.004455032,0.45
Polk,2010,0.305328685,0.598306773,0.096364542,0.1
Sherman,2010,0,1,0,0
Tillamook,2010,0,0.682457592,0.317542408,0
Umatilla,2010,0,0.9,0.1,0
Union,2010,0,0.950116009,0.049883991,0
Wallowa,2010,0,0.925870795,0.074129205,0
Wasco,2010,0,0.940304872,0.059695128,0
Washington,2010,0.955764899,0.007511483,0.036723618,0.35
Wheeler,2010,0,1,0,0
Yamhill,2010,0,0.945579855,0.054420145,0
