Geo,Year,CenterEcoProp,InnerEcoProp,OuterEcoProp,FringeEcoProp,CenterImpProp,InnerImpProp,OuterImpProp,FringeImpProp
Albany,1990,0,0,0,0,0,0,0,0
Albany,1995,0,0,0,0,0,0,0,0
Albany,2000,0,0,0,0,0,0,0,0
Albany,2005,0,0,0,0,0,0,0,0
Albany,2010,0,0,0,0,0,0,0,0
Albany,2015,0,0,0,0,0,0,0,0
Albany,2020,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
Albany,2025,0.1125,0.1125,0.1125,0.1125,0.0875,0.0875,0.0875,0.0875
Albany,2030,0.175,0.175,0.175,0.175,0.125,0.125,0.125,0.125
Albany,2035,0.2375,0.2375,0.2375,0.2375,0.1625,0.1625,0.1625,0.1625
Albany,2040,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.2
Albany,2045,0.3625,0.3625,0.3625,0.3625,0.2375,0.2375,0.2375,0.2375
Albany,2050,0.425,0.425,0.425,0.425,0.275,0.275,0.275,0.275
Bend,1990,0,0,0,0,0,0,0,0
Bend,1995,0,0,0,0,0,0,0,0
Bend,2000,0,0,0,0,0,0,0,0
Bend,2005,0,0,0,0,0,0,0,0
Bend,2010,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
Bend,2015,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
Bend,2020,0.01025,0.01025,0.01025,0.01025,0.012,0.012,0.012,0.012
Bend,2025,0.0105,0.0105,0.0105,0.0105,0.014,0.014,0.014,0.014
Bend,2030,0.01075,0.01075,0.01075,0.01075,0.016,0.016,0.016,0.016
Bend,2035,0.011,0.011,0.011,0.011,0.018,0.018,0.018,0.018
Bend,2040,0.01125,0.01125,0.01125,0.01125,0.02,0.02,0.02,0.02
Bend,2045,0.0115,0.0115,0.0115,0.0115,0.022,0.022,0.022,0.022
Bend,2050,0.01175,0.01175,0.01175,0.01175,0.024,0.024,0.024,0.024
Corvallis,1990,0,0,0,0,0,0,0,0
Corvallis,1995,0,0,0,0,0,0,0,0
Corvallis,2000,0,0,0,0,0,0,0,0
Corvallis,2005,0,0,0,0,0,0,0,0
Corvallis,2010,0.021,0.021,0.021,0.021,0.014,0.014,0.014,0.014
Corvallis,2015,0.04,0.04,0.04,0.04,0.014,0.014,0.014,0.014
Corvallis,2020,0.042,0.042,0.042,0.042,0.0212,0.0212,0.0212,0.0212
Corvallis,2025,0.044,0.044,0.044,0.044,0.0284,0.0284,0.0284,0.0284
Corvallis,2030,0.046,0.046,0.046,0.046,0.0356,0.0356,0.0356,0.0356
Corvallis,2035,0.048,0.048,0.048,0.048,0.0428,0.0428,0.0428,0.0428
Corvallis,2040,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
Corvallis,2045,0.052,0.052,0.052,0.052,0.05,0.05,0.05,0.05
Corvallis,2050,0.054,0.054,0.054,0.054,0.05,0.05,0.05,0.05
EugeneSpringfield,1990,0,0,0,0,0,0,0,0
EugeneSpringfield,1995,0,0,0,0,0,0,0,0
EugeneSpringfield,2000,0,0,0,0,0,0,0,0
EugeneSpringfield,2005,0.025,0.025,0.025,0.025,0.001,0.001,0.001,0.001
EugeneSpringfield,2010,0.025,0.025,0.025,0.025,0.006,0.006,0.006,0.006
EugeneSpringfield,2015,0.025,0.025,0.025,0.025,0.007,0.007,0.007,0.007
EugeneSpringfield,2020,0.025,0.025,0.025,0.025,0.01,0.01,0.01,0.01
EugeneSpringfield,2025,0.031,0.031,0.031,0.031,0.015,0.015,0.015,0.015
EugeneSpringfield,2030,0.0375,0.0375,0.0375,0.0375,0.02,0.02,0.02,0.02
EugeneSpringfield,2035,0.04375,0.04375,0.04375,0.04375,0.025,0.025,0.025,0.025
EugeneSpringfield,2040,0.05,0.05,0.05,0.05,0.03,0.03,0.03,0.03
EugeneSpringfield,2045,0.05625,0.05625,0.05625,0.05625,0.035,0.035,0.035,0.035
EugeneSpringfield,2050,0.0625,0.0625,0.0625,0.0625,0.04,0.04,0.04,0.04
GrantsPass,1990,0,0,0,0,0,0,0,0
GrantsPass,1995,0,0,0,0,0,0,0,0
GrantsPass,2000,0,0,0,0,0,0,0,0
GrantsPass,2005,0,0,0,0,0,0,0,0
GrantsPass,2010,0,0,0,0,0,0,0,0
GrantsPass,2015,0,0,0,0,0,0,0,0
GrantsPass,2020,0.01025,0.01025,0.01025,0.01025,0.012,0.012,0.012,0.012
GrantsPass,2025,0.0105,0.0105,0.0105,0.0105,0.014,0.014,0.014,0.014
GrantsPass,2030,0.01075,0.01075,0.01075,0.01075,0.016,0.016,0.016,0.016
GrantsPass,2035,0.011,0.011,0.011,0.011,0.018,0.018,0.018,0.018
GrantsPass,2040,0.01125,0.01125,0.01125,0.01125,0.02,0.02,0.02,0.02
GrantsPass,2045,0.0115,0.0115,0.0115,0.0115,0.022,0.022,0.022,0.022
GrantsPass,2050,0.01175,0.01175,0.01175,0.01175,0.024,0.024,0.024,0.024
Metro,1990,0,0,0,0,0,0,0,0
Metro,1995,0,0,0,0,0,0,0,0
Metro,2000,0,0,0,0,0,0,0,0
Metro,2005,0.2,0.2,0.2,0.2,0.09,0.09,0.09,0.09
Metro,2010,0.2,0.2,0.2,0.2,0.09,0.09,0.09,0.09
Metro,2015,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
Metro,2020,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4
Metro,2025,0.3,0.3,0.3,0.3,0.4125,0.4125,0.4125,0.4125
Metro,2030,0.3,0.3,0.3,0.3,0.425,0.425,0.425,0.425
Metro,2035,0.3,0.3,0.3,0.3,0.4375,0.4375,0.4375,0.4375
Metro,2040,0.3,0.3,0.3,0.3,0.45,0.45,0.45,0.45
Metro,2045,0.3,0.3,0.3,0.3,0.4625,0.4625,0.4625,0.4625
Metro,2050,0.3,0.3,0.3,0.3,0.475,0.475,0.475,0.475
None,1990,0,0,0,0,0,0,0,0
None,1995,0,0,0,0,0,0,0,0
None,2000,0,0,0,0,0,0,0,0
None,2005,0,0,0,0,0,0,0,0
None,2010,0,0,0,0,0,0,0,0
None,2015,0,0,0,0,0,0,0,0
None,2020,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
None,2025,0.1125,0.1125,0.1125,0.1125,0.0875,0.0875,0.0875,0.0875
None,2030,0.175,0.175,0.175,0.175,0.125,0.125,0.125,0.125
None,2035,0.2375,0.2375,0.2375,0.2375,0.1625,0.1625,0.1625,0.1625
None,2040,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.2
None,2045,0.3625,0.3625,0.3625,0.3625,0.2375,0.2375,0.2375,0.2375
None,2050,0.425,0.425,0.425,0.425,0.275,0.275,0.275,0.275
RogueValley,1990,0,0,0,0,0,0,0,0
RogueValley,1995,0,0,0,0,0,0,0,0
RogueValley,2000,0,0,0,0,0,0,0,0
RogueValley,2005,0,0,0,0,0,0,0,0
RogueValley,2010,0.026,0.026,0.026,0.026,0,0,0,0
