Year,AutoPropIcev,AutoPropHev,AutoPropBev,LtTrkPropIcev,LtTrkPropHev,LtTrkPropBev
1990,1,0,0,1,0,0
1995,1,0,0,1,0,0
2000,1,0,0,1,0,0
2005,0.998049046,0.001950954,0,1,0,0
2010,0.986924509,0.01307518,3.119E-07,1,0,0
2015,0.950496054,0.045143093,0.004360852,0.992107275,0.007892725,0
2020,0.924895372,0.058468062,0.016636565,0.986298944,0.010494784,0.003206272
2025,0.876284289,0.070355125,0.053360586,0.971548429,0.012663206,0.015788364
2030,0.815052631,0.078326919,0.106620449,0.951929648,0.014403649,0.033666703
2035,0.74846328,0.084266506,0.167270215,0.933152216,0.015964251,0.050883532
2040,0.683939736,0.088341277,0.227718988,0.918044775,0.017291507,0.064663718
2045,0.62969069,0.090454809,0.279854501,0.908153305,0.018171174,0.07367552
2050,0.58730692,0.091149732,0.321543349,0.901711163,0.018721576,0.079567261
