Year,AutoPropIcev,AutoPropHev,AutoPropBev,LtTrkPropIcev,LtTrkPropHev,LtTrkPropBev
1990,1,0,0,1,0,0
1995,1,0,0,1,0,0
2000,1,0,0,1,0,0
2005,0.98765891,0.01234109,0,1,0,0
2010,0.9438986,0.0561014,0,0.994670685,0.005329314,1E-09
2015,0.93490643,0.060146913,0.004946657,0.992079898,0.007840506,7.9596E-05
2020,0.90752456,0.07232855,0.02014689,0.988962484,0.009529075,0.001508441
2025,0.86903765,0.07988543,0.05107692,0.979864689,0.011564048,0.008571263
2030,0.8185692,0.08443201,0.09699879,0.96740507,0.01341314,0.01918179
2035,0.76143757,0.08680694,0.15175549,0.95434689,0.01561652,0.03003659
2040,0.70432548,0.08601628,0.20965824,0.94415102,0.01655152,0.03929746
2045,0.64737693,0.08952328,0.26309979,0.93631149,0.01763053,0.04605798
2050,0.60054448,0.09091257,0.30854295,0.9305612,0.01848894,0.05094986
