Year,AutoPropIcev,AutoPropHev,AutoPropBev,LtTrkPropIcev,LtTrkPropHev,LtTrkPropBev
1990,1,0,0,1,0,0
1995,1,0,0,1,0,0
2000,1,0,0,1,0,0
2005,0.998049046,0.001950954,0,1,0,0
2010,0.986924509,0.01307518,3.119E-07,1,0,0
2015,0.988687167,0.011312833,0,0.991515375,0.008484625,0
2020,0.935389886,0.064610114,0,0.951542414,0.048457586,0
2025,0.785405267,0.207627358,0.006967375,0.837745285,0.156061493,0.006193222
2030,0.583454334,0.384204176,0.03234149,0.681133543,0.290118466,0.028747991
2035,0.291165905,0.610953412,0.097880683,0.448097369,0.464897579,0.087005052
2040,0.153764074,0.658847015,0.187388911,0.32544654,0.507985538,0.166567921
2045,0.074625301,0.597680155,0.327694544,0.234925092,0.473790869,0.291284039
2050,0.032137408,0.443026197,0.524836395,0.15881242,0.37466634,0.46652124
