Year,AutoPropIcev,AutoPropHev,AutoPropBev,LtTrkPropIcev,LtTrkPropHev,LtTrkPropBev
1990,1,0,0,1,0,0
1995,1,0,0,1,0,0
2000,1,0,0,1,0,0
2005,0.998049046,0.001950954,0.00E+00,1,0,0
2010,0.986924509,0.01307518,3.119E-07,1,0,0.00E+00
2015,0.9877906,0.01217193,3.75E-05,0.995461872,0.004538128,0
2020,0.939685054,0.059600683,0.000714262,0.970452775,0.029346081,0.000201144
2025,0.842481847,0.154728646,0.002789507,0.908970875,0.090257175,0.00077195
2030,0.717705537,0.276535955,0.005758508,0.811074559,0.18728512,0.001640321
2035,0.60203924,0.38763592,0.01032484,0.704448617,0.292619345,0.002932038
2040,0.51878624,0.46477168,0.01644208,0.619088571,0.37646903,0.004442399
2045,0.46682806,0.50888912,0.02428282,0.564955843,0.428320359,0.006723798
2050,0.43139268,0.5359485,0.03265882,0.535128206,0.45580114,0.009070654
