ModelYear,AutoIcevMpg,AutoHevMpg,AutoPhevMpg,LtTrkIcevMpg,LtTrkHevMpg,LtTrkPhevMpg,AutoPhevMpkwh,LtTrkPhevMpkwh,AutoBevMpkwh,LtTrkBevMpkwh,AutoPhevRange,LtTrkPhevRange,AutoBevRange,LtTrkBevRange
1975,14,NA,NA,11.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1976,15.5,NA,NA,12.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1977,16.2,NA,NA,13.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1978,17.8,NA,NA,12.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1979,17.9,NA,NA,12.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1980,21.1,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1981,22.6,NA,NA,17.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1982,23.8,NA,NA,17.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1983,23.7,NA,NA,18.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1984,23.77204322,NA,NA,18.70061005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1985,24.82696778,NA,NA,18.65015441,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1986,25.49963331,NA,NA,19.92910489,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1987,25.90475899,NA,NA,19.73402336,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1988,26.1774064,NA,NA,19.18383353,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1989,25.98531992,NA,NA,18.44060852,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1990,26.40507315,NA,NA,18.39247415,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1991,26.86336745,NA,NA,19.02816659,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1992,26.96841798,NA,NA,18.95057717,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1993,27.36677001,NA,NA,18.66347961,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1994,27.3583753,NA,NA,18.94256837,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1995,27.5941794,NA,NA,18.16120124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1996,27.63701304,NA,NA,19.02563401,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1997,27.8977806,NA,NA,18.83681597,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1998,27.87757888,NA,NA,18.80861038,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1999,27.16199832,NA,NA,18.26515267,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000,27.30846716,43.34615385,43.34615385,18.41678979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001,27.36405942,43.34615385,43.34615385,18.44882501,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,27.53991172,41.86885243,41.86885243,18.38401583,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,27.72925434,42.81376518,42.81376518,18.7269434,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2004,27.72980288,44.65588399,44.65588399,19.05643952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005,27.88578299,43.42042408,43.42042408,19.65803813,24.92,24.92,NA,NA,NA,NA,NA,NA,NA,NA
2006,27.68412382,44.625,44.625,20.12499347,25.24432641,25.24432641,NA,NA,NA,NA,NA,NA,NA,NA
2007,28.43307848,42.46205545,42.46205545,20.47991829,25.88487282,25.88487282,NA,NA,NA,NA,NA,NA,NA,NA
2008,28.9682959,43.534604,43.534604,21.00818062,25.31851086,25.31851086,NA,NA,NA,NA,NA,NA,NA,NA
2009,29.94636248,40.94014416,40.94014416,21.81260639,25.38350785,25.38350785,NA,NA,NA,NA,NA,NA,NA,NA
2010,30.12158698,42.62655205,42.62655205,22.00091616,26.63837638,26.63837638,2.78,1.529,2.94,2.205,25,18.75,50,37.5
2011,30.35951244,44.44954819,44.44954819,22.31175359,27.0814978,27.0814978,2.78,1.529,2.94,2.205,25,18.75,60,45
2012,32.56706266,43.60761387,43.60761387,22.58707044,27.25,27.25,3.12,1.716,2.95,2.2125,25,18.75,70,52.5
2013,32.93610094,44.08439024,44.08439024,23.31850564,33.16091954,33.16091954,2.94,1.617,3.29,2.4675,25,18.75,80,60
2014,33.50660679,43.05870618,43.05870618,23.6428713,32.69230769,32.69230769,2.92,1.606,3.15,2.3625,25,18.75,90,67.5
2015,33.97931881,44.32894165,44.32894165,24.62122794,31.00892857,31.00892857,2.88,1.584,3.27,2.4525,25,18.75,103.125,77.34375
2016,34.46365166,44.63382903,44.63382903,25.34077314,32.57272365,32.57272365,2.87,1.5785,3.19,2.3925,25,18.75,142.0180646,154.0131642
2017,34.46365166,44.93871642,44.93871642,26.04008552,33.33838105,33.33838105,2.886657181,1.587661449,3.208514427,2.40638582,25,18.75,147.6771222,156.3531727
2018,35.15905265,45.2436038,45.2436038,26.89190537,33.7702304,33.7702304,2.867846345,1.57731549,3.187606216,2.390704662,25,18.75,152.7558282,160.1135852
2019,36.46402917,45.54849118,45.54849118,27.54131725,34.36060943,34.36060943,2.880775696,1.584426633,3.201977167,2.401482875,25,18.75,159.4652802,164.6063091
2020,37.7460565,45.85337856,45.85337856,28.69747064,35.74518261,35.74518261,2.912760314,1.602018173,3.237528015,2.428146011,25,18.75,164.8741071,167.8951166
2021,39.31136549,46.15826594,46.15826594,30.5239418,38.1333886,38.1333886,2.954601933,1.625031063,3.284034902,2.463026176,30,22.5,169.3783035,169.3783035
2022,40.8844544,46.46315332,46.46315332,32.0843844,39.87867164,39.87867164,2.998093493,1.648951421,3.332375694,2.49928177,30,22.5,173.8824999,173.8824999
2023,43.07252446,46.7680407,46.7680407,33.38193325,40.81122551,40.81122551,3.05341591,1.679378751,3.393866465,2.545399848,30,22.5,178.3866964,178.3866964
2024,44.20777726,47.07292809,47.07292809,35.44613978,42.43072807,42.43072807,3.103522663,1.706937465,3.449560033,2.587170025,30,22.5,182.8908928,182.8908928
2025,46.67765258,47.37781547,47.37781547,36.37378947,45.0612024,45.0612024,3.166611816,1.741636499,3.519683517,2.639762637,30,22.5,187.3950892,187.3950892
2026,46.67765258,47.68270285,47.68270285,36.49129099,45.14301687,45.14301687,3.20508772,1.762798246,3.562449418,2.671837063,30,22.5,191.8992857,191.8992857
2027,46.67765258,47.98759023,47.98759023,36.59703878,45.1770911,45.1770911,3.233907926,1.778649359,3.594483026,2.69586227,30,22.5,196.4034821,196.4034821
2028,46.67765258,48.29247761,48.29247761,36.64771696,45.19337288,45.19337288,3.240076536,1.782042095,3.601339425,2.701004569,30,22.5,200.9076785,200.9076785
2029,46.67765258,48.59736499,48.59736499,36.68934461,45.21487663,45.21487663,3.244657251,1.784561488,3.606430882,2.704823161,30,22.5,205.4118749,205.4118749
2030,46.67765258,48.90225237,48.90225237,36.72898913,45.24921618,45.24921618,3.245166855,1.78484177,3.606997306,2.705247979,30,22.5,209.9160714,209.9160714
2031,46.67765258,49.20713975,49.20713975,36.73030029,45.2767259,45.2767259,3.244627515,1.784545133,3.60639783,2.704798373,35,26.25,214.4202678,214.4202678
2032,46.67765258,49.51202714,49.51202714,36.73204831,45.29011385,45.29011385,3.244132243,1.784272733,3.605847336,2.704385502,35,26.25,218.9244642,218.9244642
2033,46.67765258,49.81691452,49.81691452,36.73747996,45.29918337,45.29918337,3.243755699,1.784065635,3.605428808,2.704071606,35,26.25,223.4286607,223.4286607
2034,46.67765258,50.1218019,50.1218019,36.7450984,45.30257279,45.30257279,3.243495104,1.783922307,3.605139158,2.703854368,35,26.25,227.9328571,227.9328571
2035,46.67765258,50.42668928,50.42668928,36.7450984,45.28675233,45.28675233,3.243317874,1.783824831,3.604942167,2.703706625,35,26.25,232.4370535,232.4370535
2036,46.67765258,50.73157666,50.73157666,36.7450984,45.26206074,45.26206074,3.243208755,1.783764815,3.604820881,2.703615661,35,26.25,236.94125,236.94125
2037,46.67765258,51.03646404,51.03646404,36.7450984,45.23255992,45.23255992,3.243171641,1.783744402,3.604779629,2.703584721,35,26.25,241.4454464,241.4454464
2038,46.67765258,51.34135142,51.34135142,36.7450984,45.19333384,45.19333384,3.243172579,1.783744918,3.604780671,2.703585503,35,26.25,245.9496428,245.9496428
2039,46.67765258,51.64623881,51.64623881,36.7450984,45.14662699,45.14662699,3.243215272,1.7837684,3.604828125,2.703621094,35,26.25,250.4538393,250.4538393
2040,46.67765258,51.95112619,51.95112619,36.7450984,45.10220047,45.10220047,3.243307362,1.783819049,3.604930483,2.703697862,35,26.25,254.9580357,254.9580357
2041,46.67765258,52.25601357,52.25601357,36.7450984,45.05336627,45.05336627,3.243492684,1.783920976,3.605136468,2.703852351,40,30,259.4622321,259.4622321
2042,46.67765258,52.56090095,52.56090095,36.7450984,45.00355046,45.00355046,3.243795421,1.784087482,3.605472959,2.704104719,40,30,263.9664286,263.9664286
2043,46.67765258,52.86578833,52.86578833,36.7450984,44.95475928,44.95475928,3.244179836,1.78429891,3.605900236,2.704425177,40,30,268.470625,268.470625
2044,46.67765258,53.17067571,53.17067571,36.7450984,44.90763971,44.90763971,3.244622019,1.78454211,3.606391721,2.704793791,40,30,272.9748214,272.9748214
2045,46.67765258,53.47556309,53.47556309,36.7450984,44.85588459,44.85588459,3.24509993,1.784804961,3.606922919,2.705192189,40,30,277.4790178,277.4790178
2046,46.67765258,53.78045047,53.78045047,36.7450984,44.91299154,44.91299154,3.245603659,1.785082013,3.607482813,2.70561211,40,30,281.9832143,281.9832143
2047,46.67765258,54.08533786,54.08533786,36.7450984,44.9179705,44.9179705,3.246020852,1.785311468,3.607946521,2.705959891,40,30,286.4874107,286.4874107
2048,46.67765258,54.39022524,54.39022524,36.7450984,44.90388617,44.90388617,3.246076245,1.785341935,3.608008091,2.706006069,40,30,290.9916071,290.9916071
2049,46.67765258,54.69511262,54.69511262,36.7450984,44.89632094,44.89632094,3.245793446,1.785186396,3.607693761,2.705770321,40,30,295.4958036,295.4958036
2050,46.67765258,55,55,36.7450984,45.0041066,45.0041066,3.245241821,1.784883001,3.60708063,2.705310473,40,30,300,300
