ModelYear,AutoIcevMpg,AutoHevMpg,AutoPhevMpg,LtTrkIcevMpg,LtTrkHevMpg,LtTrkPhevMpg,AutoPhevMpkwh,LtTrkPhevMpkwh,AutoBevMpkwh,LtTrkBevMpkwh,AutoPhevRange,LtTrkPhevRange,AutoBevRange,LtTrkBevRange
1975,14,NA,NA,11.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1976,15.5,NA,NA,12.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1977,16.2,NA,NA,13.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1978,17.8,NA,NA,12.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1979,17.9,NA,NA,12.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1980,21.1,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1981,22.6,NA,NA,17.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1982,23.8,NA,NA,17.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1983,23.7,NA,NA,18.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1984,24.3,NA,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1985,24.9,NA,NA,18.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1986,25.9,NA,NA,18.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1987,26,NA,NA,19.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1988,26.5,NA,NA,18.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1989,26.2,NA,NA,18.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1990,25.9,NA,NA,18.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1991,26.1,NA,NA,19.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1992,26,NA,NA,18.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1993,26.3,NA,NA,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1994,26.2,NA,NA,18.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1995,26.5,NA,NA,18.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1996,26.5,NA,NA,18.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1997,26.5,NA,NA,18.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1998,26.5,NA,NA,18.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1999,26.1,NA,NA,18.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000,26.1,NA,NA,18.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001,26.5,NA,NA,18.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,26.4,NA,NA,18.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,26.5,NA,NA,18.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2004,26.6,NA,NA,18.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005,26.9,NA,NA,19.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006,27.2,NA,NA,19.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007,27.5,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,27.8,NA,NA,20.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,27.9,NA,NA,20.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,29.2,46,46,20.9,28,28,3.5,2,3.5,2,25,25,50,33.33333333
2011,30.4,48,48,21.7,29.6,30.4,3.525,2.025,3.525,2.025,25,25,60,40
2012,31.5,50,50,22.5,31.2,32.8,3.55,2.05,3.55,2.05,25,25,70,46.66666667
2013,32.7,52,52,23.4,32.8,35.2,3.575,2.075,3.575,2.075,25,25,80,53.33333333
2014,33.8,54,54,24.2,34.4,37.6,3.6,2.1,3.6,2.1,25,25,90,60
2015,35,56,56,25,36,40,3.625,2.125,3.625,2.125,25,25,103.125,68.75
2016,35.6,57.2,57.2,26.2,37.4,41.4,3.65,2.15,3.65,2.15,25,25,108.75,72.5
2017,36.2,58.4,58.4,27.4,38.8,42.8,3.675,2.175,3.675,2.175,25,25,114.375,76.25
2018,36.8,59.6,59.6,28.6,40.2,44.2,3.7,2.2,3.7,2.2,25,25,120,80
2019,37.4,60.8,60.8,29.8,41.6,45.6,3.725,2.225,3.725,2.225,25,25,125.625,83.75
2020,38,62,62,31,43,47,3.75,2.25,3.75,2.25,25,25,131.25,87.5
2021,38.4,62.8,62.8,32.2,44,47.8,3.775,2.275,3.775,2.275,30,30,136.875,91.25
2022,38.8,63.6,63.6,33.4,45,48.6,3.8,2.3,3.8,2.3,30,30,142.5,95
2023,39.2,64.4,64.4,34.6,46,49.4,3.825,2.325,3.825,2.325,30,30,148.125,98.75
2024,39.6,65.2,65.2,35.8,47,50.2,3.85,2.35,3.85,2.35,30,30,153.75,102.5
2025,40,66,66,37,48,51,3.875,2.375,3.875,2.375,30,30,159.375,106.25
2026,40.2,66.6,66.6,37.6,48.6,51.6,3.9,2.4,3.9,2.4,30,30,165,110
2027,40.4,67.2,67.2,38.2,49.2,52.2,3.925,2.425,3.925,2.425,30,30,170.625,113.75
2028,40.5,67.9,67.8,38.9,49.8,52.8,3.95,2.45,3.95,2.45,30,30,176.25,117.5
2029,40.7,68.5,68.4,39.5,50.4,53.4,3.975,2.475,3.975,2.475,30,30,181.875,121.25
2030,40.9,69.1,69,40.1,51,54,4,2.5,4,2.5,30,30,187.5,125
2031,41.1,69.4,69.4,40.3,51.4,54.3,4.025,2.525,4.025,2.525,35,35,193.125,128.75
2032,41.2,69.7,69.8,40.4,51.8,54.6,4.05,2.55,4.05,2.55,35,35,198.75,132.5
2033,41.4,70.1,70.1,40.6,52.2,54.8,4.075,2.575,4.075,2.575,35,35,204.375,136.25
2034,41.6,70.4,70.5,40.7,52.6,55.1,4.1,2.6,4.1,2.6,35,35,210,140
2035,41.8,70.7,70.9,40.9,53,55.4,4.125,2.625,4.125,2.625,35,35,215.625,143.75
2036,41.9,71,71.2,40.9,53.2,55.7,4.15,2.65,4.15,2.65,35,35,221.25,147.5
2037,42.1,71.3,71.6,41,53.4,56,4.175,2.675,4.175,2.675,35,35,226.875,151.25
2038,42.3,71.7,72,41,53.6,56.2,4.2,2.7,4.2,2.7,35,35,232.5,155
2039,42.5,72,72.3,41.1,53.9,56.5,4.225,2.725,4.225,2.725,35,35,238.125,158.75
2040,42.6,72.3,72.7,41.1,54.1,56.8,4.25,2.75,4.25,2.75,35,35,243.75,162.5
2041,42.8,72.6,73.1,41.1,54.3,57.1,4.275,2.775,4.275,2.775,40,40,249.375,166.25
2042,43,72.9,73.4,41.1,54.5,57.4,4.3,2.8,4.3,2.8,40,40,255,170
2043,43.2,73.3,73.8,41.1,54.8,57.6,4.325,2.825,4.325,2.825,40,40,260.625,173.75
2044,43.3,73.6,74.2,41.1,55,57.9,4.35,2.85,4.35,2.85,40,40,266.25,177.5
2045,43.5,73.9,74.5,41.1,55.2,58.2,4.375,2.875,4.375,2.875,40,40,271.875,181.25
2046,43.7,74.2,74.9,41.1,55.4,58.5,4.4,2.9,4.4,2.9,40,40,277.5,185
2047,43.8,74.5,75.3,41.1,55.6,58.8,4.425,2.925,4.425,2.925,40,40,283.125,188.75
2048,44,74.9,75.6,41.1,55.9,59.1,4.45,2.95,4.45,2.95,40,40,288.75,192.5
2049,44.2,75.2,76,41.1,56.1,59.3,4.475,2.975,4.475,2.975,40,40,294.375,196.25
2050,44.4,75.5,76.4,41.1,56.3,59.6,4.5,3,4.5,3,40,40,300,200
