Year,VanPropGasoline,VanPropDiesel,VanPropCng,BusPropGasoline,BusPropDiesel,BusPropCng,RailPropGasoline,RailPropDiesel
1990,1,0,0,0,0.960425903,0.039574097,0,1
1995,1,0,0,0,0.960425903,0.039574097,0,1
2000,1,0,0,0,0.960425903,0.039574097,0,1
2005,1,0,0,0,0.960425903,0.039574097,0,1
2010,1,0,0,0,0.960425903,0.039574097,0,1
2015,1,0,0,0,0.9,0.1,0,1
2020,1,0,0,0,0.65,0.35,0,1
2025,1,0,0,0,0.4,0.6,0,1
2030,1,0,0,0,0.15,0.85,0,1
2035,1,0,0,0,0.03,0.97,0,1
2040,1,0,0,0,0,1,0,1
2045,1,0,0,0,0,1,0,1
2050,1,0,0,0,0,1,0,1
