ModelYear,AutoPropIcev,AutoPropHev,AutoPropPhev,AutoPropBev,LtTrkPropIcev,LtTrkPropHev,LtTrkPropPhev,LtTrkPropBev
1975,1,0,0,0,1,0,0,0
1976,1,0,0,0,1,0,0,0
1977,1,0,0,0,1,0,0,0
1978,1,0,0,0,1,0,0,0
1979,1,0,0,0,1,0,0,0
1980,1,0,0,0,1,0,0,0
1981,1,0,0,0,1,0,0,0
1982,1,0,0,0,1,0,0,0
1983,1,0,0,0,1,0,0,0
1984,1,0,0,0,1,0,0,0
1985,1,0,0,0,1,0,0,0
1986,1,0,0,0,1,0,0,0
1987,1,0,0,0,1,0,0,0
1988,1,0,0,0,1,0,0,0
1989,1,0,0,0,1,0,0,0
1990,1,0,0,0,1,0,0,0
1991,1,0,0,0,1,0,0,0
1992,1,0,0,0,1,0,0,0
1993,1,0,0,0,1,0,0,0
1994,1,0,0,0,1,0,0,0
1995,1,0,0,0,1,0,0,0
1996,1,0,0,0,1,0,0,0
1997,1,0,0,0,1,0,0,0
1998,1,0,0,0,1,0,0,0
1999,1,0,0,0,1,0,0,0
2000,1,0,0,0,1,0,0,0
2001,1,0,0,0,1,0,0,0
2002,1,0,0,0,1,0,0,0
2003,1,0,0,0,1,0,0,0
2004,1,0,0,0,1,0,0,0
2005,1,0,0,0,1,0,0,0
2006,1,0,0,0,1,0,0,0
2007,1,0,0,0,1,0,0,0
2008,1,0,0,0,1,0,0,0
2009,1,0,0,0,1,0,0,0
2010,0.99,0.01,0,0,0.9925,0.0075,0,0
2011,0.98,0.02,0,0,0.985,0.015,0,0
2012,0.96,0.04,0,0,0.97,0.03,0,0
2013,0.95,0.05,0,0,0.9625,0.0375,0,0
2014,0.925,0.075,0,0,0.94375,0.05625,0,0
2015,0.9,0.1,0,0,0.925,0.075,0,0
2016,0.87,0.13,0,0,0.9025,0.0975,0,0
2017,0.82,0.18,0,0,0.865,0.135,0,0
2018,0.78,0.22,0,0,0.835,0.165,0,0
2019,0.7,0.3,0,0,0.775,0.225,0,0
2020,0.592592593,0.407407407,0,0,0.694444444,0.305555556,0,0
2021,0.530592593,0.457407407,0.00984,0.00216,0.645814815,0.343518518,0.009173334,0.001493333
2022,0.469925925,0.506074075,0.01932,0.00468,0.598074074,0.380592593,0.018097777,0.003235556
2023,0.39274074,0.57125926,0.02844,0.00756,0.537777778,0.430222222,0.026773333,0.005226667
2024,0.334962963,0.617037037,0.0372,0.0108,0.491962963,0.46537037,0.0352,0.007466667
2025,0.278518518,0.661481482,0.0456,0.0144,0.447037037,0.49962963,0.043377777,0.009955556
2026,0.257777778,0.670222222,0.05364,0.01836,0.429,0.507,0.051306667,0.012693333
2027,0.220518519,0.695481481,0.06132,0.02268,0.398407408,0.526925925,0.058986667,0.01568
2028,0.198222222,0.693777778,0.07722,0.03078,0.376666667,0.527333333,0.07472,0.02128
2029,0.162962963,0.717037037,0.084,0.036,0.347407407,0.545925926,0.081777778,0.024888889
2030,0.144666667,0.723333333,0.09042,0.04158,0.331,0.551666667,0.088586666,0.028746667
2031,0.125037037,0.718962963,0.10452,0.05148,0.311037037,0.550296296,0.103075556,0.035591111
2032,0.123259259,0.708740741,0.11004,0.05796,0.307185185,0.543481482,0.109262222,0.040071111
2033,0.104740741,0.703259259,0.12288,0.06912,0.287962963,0.54137037,0.12288,0.047786667
2034,0.088444444,0.707555556,0.1275,0.0765,0.272888889,0.545777778,0.128444444,0.052888889
2035,0.071481482,0.700518518,0.13566,0.09234,0.254703703,0.54262963,0.138826667,0.06384
2036,0.06925926,0.67874074,0.14616,0.10584,0.247888889,0.528111111,0.150826667,0.073173333
2037,0.052740741,0.659259259,0.1584,0.1296,0.227333334,0.516666666,0.1664,0.0896
2038,0.049185185,0.614814815,0.17976,0.15624,0.214296297,0.487037036,0.190648889,0.108017778
2039,0.034222222,0.581777778,0.19392,0.19008,0.192111111,0.466555556,0.20992,0.131413333
2040,0.032222222,0.547777778,0.1995,0.2205,0.182777778,0.443888889,0.220888889,0.152444444
2041,0.030222222,0.513777778,0.20292,0.25308,0.173444445,0.421222222,0.230364444,0.174968889
2042,0.018814815,0.489185185,0.20418,0.28782,0.156296297,0.40637037,0.238346666,0.198986667
2043,0.017037037,0.442962963,0.2079,0.3321,0.144444445,0.375555555,0.2504,0.2296
2044,0.007407408,0.392592592,0.213,0.387,0.123148148,0.343518519,0.265777777,0.267555556
2045,0.006296296,0.333703704,0.2145,0.4455,0.109074074,0.304259259,0.278666667,0.308
2046,0.005407408,0.286592592,0.19824,0.50976,0.097814815,0.272851852,0.276906667,0.352426666
2047,0.004518519,0.239481481,0.189,0.567,0.086555556,0.241444444,0.28,0.392
2048,0,0.184,0.16728,0.64872,0.068666667,0.206,0.276835556,0.448497777
2049,0,0.136,0.12528,0.73872,0.058,0.174,0.25728,0.51072
2050,0,0.1,0.09,0.81,0.05,0.15,0.24,0.56
