ModelYear,AutoIcevMpg,AutoHevMpg,AutoPhevMpg,LtTrkIcevMpg,LtTrkHevMpg,LtTrkPhevMpg,AutoPhevMpkwh,LtTrkPhevMpkwh,AutoBevMpkwh,LtTrkBevMpkwh,AutoPhevRange,LtTrkPhevRange,AutoBevRange,LtTrkBevRange
1975,13.16,46,46,11,28,28,3.5,2,3.5,2,25,25,50,33.33333333
1976,14.57,46,46,11.56,28,28,3.5,2,3.5,2,25,25,50,33.33333333
1977,15.23,46,46,12.31,28,28,3.5,2,3.5,2,25,25,50,33.33333333
1978,16.73,46,46,11.94,28,28,3.5,2,3.5,2,25,25,50,33.33333333
1979,16.83,46,46,11.47,28,28,3.5,2,3.5,2,25,25,50,33.33333333
1980,19.83,46,46,15.04,28,28,3.5,2,3.5,2,25,25,50,33.33333333
1981,21.24,46,46,16.26,28,28,3.5,2,3.5,2,25,25,50,33.33333333
1982,22.37,46,46,16.64,28,28,3.5,2,3.5,2,25,25,50,33.33333333
1983,22.28,46,46,17.2,28,28,3.5,2,3.5,2,25,25,50,33.33333333
1984,22.84,46,46,16.92,28,28,3.5,2,3.5,2,25,25,50,33.33333333
1985,23.41,46,46,17.01,28,28,3.5,2,3.5,2,25,25,50,33.33333333
1986,24.35,46,46,17.77,28,28,3.5,2,3.5,2,25,25,50,33.33333333
1987,24.44,46,46,18.05,28,28,3.5,2,3.5,2,25,25,50,33.33333333
1988,24.91,46,46,17.77,28,28,3.5,2,3.5,2,25,25,50,33.33333333
1989,24.63,46,46,17.39,28,28,3.5,2,3.5,2,25,25,50,33.33333333
1990,24.35,46,46,17.58,28,28,3.5,2,3.5,2,25,25,50,33.33333333
1991,24.53,46,46,18.05,28,28,3.5,2,3.5,2,25,25,50,33.33333333
1992,24.44,46,46,17.67,28,28,3.5,2,3.5,2,25,25,50,33.33333333
1993,24.72,46,46,17.86,28,28,3.5,2,3.5,2,25,25,50,33.33333333
1994,24.63,46,46,17.48,28,28,3.5,2,3.5,2,25,25,50,33.33333333
1995,24.91,46,46,17.3,28,28,3.5,2,3.5,2,25,25,50,33.33333333
1996,24.91,46,46,17.77,28,28,3.5,2,3.5,2,25,25,50,33.33333333
1997,24.91,46,46,17.39,28,28,3.5,2,3.5,2,25,25,50,33.33333333
1998,24.91,46,46,17.67,28,28,3.5,2,3.5,2,25,25,50,33.33333333
1999,24.53,46,46,17.11,28,28,3.5,2,3.5,2,25,25,50,33.33333333
2000,24.53,46,46,17.48,28,28,3.5,2,3.5,2,25,25,50,33.33333333
2001,24.91,46,46,17.39,28,28,3.5,2,3.5,2,25,25,50,33.33333333
2002,24.82,46,46,17.39,28,28,3.5,2,3.5,2,25,25,50,33.33333333
2003,24.91,46,46,17.58,28,28,3.5,2,3.5,2,25,25,50,33.33333333
2004,25,46,46,17.48,28,28,3.5,2,3.5,2,25,25,50,33.33333333
2005,25.29,46,46,17.95,28,28,3.5,2,3.5,2,25,25,50,33.33333333
2006,25.57,46,46,18.33,28,28,3.5,2,3.5,2,25,25,50,33.33333333
2007,25.85,46,46,18.8,28,28,3.5,2,3.5,2,25,25,50,33.33333333
2008,26.13,46,46,19.08,28,28,3.5,2,3.5,2,25,25,50,33.33333333
2009,26.23,46,46,19.27,28,28,3.5,2,3.5,2,25,25,50,33.33333333
2010,27.45,46,46,19.65,28,28,3.5,2,3.5,2,25,25,50,33.33333333
2011,28.58,48,48,20.4,29.6,30.4,3.525,2.025,3.525,2.025,25,25,60,40
2012,29.61,50,50,21.15,31.2,32.8,3.55,2.05,3.55,2.05,25,25,70,46.66666667
2013,30.74,52,52,22,32.8,35.2,3.575,2.075,3.575,2.075,25,25,80,53.33333333
2014,31.77,54,54,22.75,34.4,37.6,3.6,2.1,3.6,2.1,25,25,90,60
2015,32.9,56,56,23.5,36,40,3.625,2.125,3.625,2.125,25,25,103.125,68.75
2016,33.46,57.2,57.2,24.63,37.4,41.4,3.65,2.15,3.65,2.15,25,25,108.75,72.5
2017,34.03,58.4,58.4,25.76,38.8,42.8,3.675,2.175,3.675,2.175,25,25,114.375,76.25
2018,34.59,59.6,59.6,26.88,40.2,44.2,3.7,2.2,3.7,2.2,25,25,120,80
2019,35.16,60.8,60.8,28.01,41.6,45.6,3.725,2.225,3.725,2.225,25,25,125.625,83.75
2020,35.72,62,62,29.14,43,47,3.75,2.25,3.75,2.25,25,25,131.25,87.5
2021,36.1,62.8,62.8,30.27,44,47.8,3.775,2.275,3.775,2.275,30,30,136.875,91.25
2022,36.47,63.6,63.6,31.4,45,48.6,3.8,2.3,3.8,2.3,30,30,142.5,95
2023,36.85,64.4,64.4,32.52,46,49.4,3.825,2.325,3.825,2.325,30,30,148.125,98.75
2024,37.22,65.2,65.2,33.65,47,50.2,3.85,2.35,3.85,2.35,30,30,153.75,102.5
2025,37.6,66,66,34.78,48,51,3.875,2.375,3.875,2.375,30,30,159.375,106.25
2026,37.79,66.6,66.6,35.34,48.6,51.6,3.9,2.4,3.9,2.4,30,30,165,110
2027,37.98,67.2,67.2,35.91,49.2,52.2,3.925,2.425,3.925,2.425,30,30,170.625,113.75
2028,38.07,67.9,67.8,36.57,49.8,52.8,3.95,2.45,3.95,2.45,30,30,176.25,117.5
2029,38.26,68.5,68.4,37.13,50.4,53.4,3.975,2.475,3.975,2.475,30,30,181.875,121.25
2030,38.45,69.1,69,37.69,51,54,4,2.5,4,2.5,30,30,187.5,125
2031,38.63,69.4,69.4,37.88,51.4,54.3,4.025,2.525,4.025,2.525,35,35,193.125,128.75
2032,38.73,69.7,69.8,37.98,51.8,54.6,4.05,2.55,4.05,2.55,35,35,198.75,132.5
2033,38.92,70.1,70.1,38.16,52.2,54.8,4.075,2.575,4.075,2.575,35,35,204.375,136.25
2034,39.1,70.4,70.5,38.26,52.6,55.1,4.1,2.6,4.1,2.6,35,35,210,140
2035,39.29,70.7,70.9,38.45,53,55.4,4.125,2.625,4.125,2.625,35,35,215.625,143.75
2036,39.39,71,71.2,38.45,53.2,55.7,4.15,2.65,4.15,2.65,35,35,221.25,147.5
2037,39.57,71.3,71.6,38.54,53.4,56,4.175,2.675,4.175,2.675,35,35,226.875,151.25
2038,39.76,71.7,72,38.54,53.6,56.2,4.2,2.7,4.2,2.7,35,35,232.5,155
2039,39.95,72,72.3,38.63,53.9,56.5,4.225,2.725,4.225,2.725,35,35,238.125,158.75
2040,40.04,72.3,72.7,38.63,54.1,56.8,4.25,2.75,4.25,2.75,35,35,243.75,162.5
2041,40.23,72.6,73.1,38.63,54.3,57.1,4.275,2.775,4.275,2.775,40,40,249.375,166.25
2042,40.42,72.9,73.4,38.63,54.5,57.4,4.3,2.8,4.3,2.8,40,40,255,170
2043,40.61,73.3,73.8,38.63,54.8,57.6,4.325,2.825,4.325,2.825,40,40,260.625,173.75
