Year,VanPropIcev,VanPropHev,VanPropBev,BusPropIcev,BusPropHev,BusPropBev,RailPropIcev,RailPropHev,RailPropEv
1990,1,0,0,1,0,0,0,0,1
1995,1,0,0,1,0,0,0,0,1
2000,1,0,0,1,0,0,0,0,1
2005,1,0,0,1,0,0,0,0,1
2010,1,0,0,1,0,0,0,0,1
2015,1,0,0,1,0,0,0,0,1
2020,1,0,0,1,0,0,0,0,1
2025,1,0,0,0.939292054,0,0.060707946,0,0,1
2030,1,0,0,0.805107475,0,0.194892525,0,0,1
2035,1,0,0,0.670922896,0,0.329077104,0,0,1
2040,1,0,0,0.536738316,0,0.463261684,0,0,1
2045,1,0,0,0.402553737,0,0.597446263,0,0,1
2050,1,0,0,0.268369158,0,0.731630842,0,0,1
